,Sentence
34,میں ایک طرف پیانو ٹیچر ہوں۔
35,میں کئی آلات بجاتا ہوں۔
36,مجھے شہر کے نئے حصوں کی تلاش میں لطف آتا ہے۔
37,میرا نام جارج ہے۔
38,میں شہد کی مکھیوں کا کاشتکار ہوں۔
39,میرا پسندیدہ کھانا پپیتا ہے۔
40,میرے پاس صفر خاندان ہے جس کے میں قریب ہوں۔
41,میں نے اٹلی سے ایک سپر ماڈل سے شادی کی۔
42,میرے پالتو جانوروں کا نام چارلی ہے۔
43,میں فنکاروں کے لیے موسیقی تیار کرتا ہوں۔
44,میرا پسندیدہ کھانا پیزا ہے۔
45,میں 2015 کی ہونڈا سوک چلاتا ہوں۔
46,میرے بھورے گھوبگھرالی بال ہیں۔
47,میں دو سال میں ہائی اسکول سے گریجویشن کروں گا۔
48,مجھے گھوڑوں کی سواری پسند ہے۔
49,میرا بیڈروم جامنی اور چونے کا سبز ہے۔
50,میری پسندیدہ قسم کی فلم ایک دستاویزی فلم ہے۔
51,میں اپنے پہلے بچے سے حاملہ ہوں۔
52,میں اپنے شوہر کے ساتھ پنسلوانیا میں رہتی ہوں۔
53,میں ہر ہفتے ایک کتاب پڑھتا ہوں۔
54,مجھے ہیمبرگر اور فرنچ فرائز کھانا پسند ہے۔
55,مجھے سیر کرنا پسند ہے۔
56,میں سوڈا نہیں پیتا۔
57,میرا ایک بویفرینڈ ہے.
58,میں ایک مکان میں رہتا ہوں.
59,میں انگریزی ہسپانوی اور فرانسیسی میں روانی ہوں۔
60,میں ایک پرائمری اسکول ٹیچر ہوں۔
61,میں اور میرا بوائے فرینڈ اگلے ہفتے ایک ساتھ اپارٹمنٹ میں جا رہے ہیں۔
62,مجھے فوٹو گرافی میں دلچسپی ہے اور مجھے تصاویر لینا پسند ہے۔
63,میں ٹریکٹر چلا سکتا ہوں۔
64,مجھے کلاسیکی موسیقی سننا اچھا لگتا ہے۔
65,میرا پسندیدہ رنگ لال ہے.
66,میں ایک عیسائی ہوں
67,میری بہن پول ڈانسر ہے۔
68,میں کھیتوں کی دیکھ بھال میں مدد کرتا ہوں۔
69,میرے والد ایک کسان ہیں۔
70,مجھے کام کے دوران راک میوزک سننا پسند ہے۔
71,میرے پاس تین عربی گھوڑے ہیں۔
72,میرے زیادہ دوست نہیں ہیں۔
73,مجھے اسکول سے نفرت ہے۔
74,میں ایک 12 سال کی لڑکی ہوں۔
75,مجھے پوباکس کھیلنا پسند ہے۔
76,میں 40 سال کا ہوں۔
77,مجھے اپنی نوکری سے نفرت ہے.
78,میری بیوی میرے سارے پیسے خرچ کرتی ہے۔
79,میں کار سیلز مین کے طور پر کام کرتا ہوں۔
80,میں طلاق لینے کا ارادہ کر رہا ہوں۔
81,میرے والد گھر گھر سیلز مین تھے۔
82,میں ایک کھلے پولیمورس رشتے میں ہوں۔
83,میرے پاس تین کتے ہیں۔
84,مجھے اولمپکس دیکھنا پسند ہے۔
85,میں نے تین ماہ قبل بطور پی اے نئی نوکری شروع کی تھی۔
86,میں اپنے پہلے بچے سے حاملہ ہوں۔
87,میں ہر ہفتے ایک کتاب پڑھتا ہوں۔
88,میں اپنے شوہر کے ساتھ پنسلوانیا میں رہتی ہوں۔
89,میری پسندیدہ قسم کی فلم ایک دستاویزی فلم ہے۔
90,میں اکیلا ہوں اور دو کتوں کے ساتھ ہوں۔
91,میں شراب نہیں پیتا۔
92,مجھے شطرنج کھیلنا پسند ہے۔
93,میں اپنی تیس کی دہائی میں ہوں۔
94,میں کتے کی چستی کی کلاسوں میں مقابلہ کرتا ہوں۔
95,میں کیمسٹری کے لیے اسکول گیا لیکن کتابوں کی دکان میں کام کرتا ہوں۔
96,مجھے فیشن کی پرواہ نہیں ہے۔
97,مجھے نارنجی رنگ سے نفرت ہے۔
98,میں ویک اینڈ پر ڈانس کرتا ہوں۔
99,میں کافی کا بہت بڑا عاشق ہوں۔
100,میرے والد ایک تعمیراتی کارکن تھے۔
101,مجھے گلابی رنگ سے نفرت ہے۔
102,میں شراب نہیں پیتا
103,میں ایک شوق کے طور پر ماؤنٹین بائیک سے لطف اندوز ہوتا ہوں۔
104,میں بدھ مت ہوں
105,میں نے اپنی روحانیت کو پورا وقت حاصل کرنے کے لیے اپنی نوکری چھوڑ دی۔
106,میں نے تین ماہ سے بات نہیں کی۔
107,مجھے مراقبہ پسند ہے۔
108,میں الاسکا میں رہتا ہوں۔
109,میں صرف نامیاتی کھانے کی مصنوعات خریدتا ہوں۔
110,مجھے سوشل میڈیا خاص طور پر ٹویٹر پسند ہے۔
111,میں انٹرنیٹ براؤز کرنے میں بہت زیادہ وقت صرف کرتا ہوں۔
112,میں ایک فیمینسٹ ہوں
113,میں نے 1992 کے اولمپکس میں گولڈ میڈل جیتا تھا۔
114,میرے پاس 1000 سے زیادہ ٹوپیوں کا مجموعہ ہے۔
115,میرا پسندیدہ موسم سرما ہے۔
116,مجھے ونیلا آئس کریم کی کمزوری ہے۔
117,مجھے بلیوں سے پیار ہے اور مجھے دو بلیاں ہیں۔
118,میری پرورش ایک گھوڑوں کے فارم میں ہوئی تھی۔
119,میرے خاندان نے نسلوں سے گھوڑے پالے ہیں۔
120,میں وکیل بننا چاہتا ہوں۔
121,میں ایک چھوٹے سے شہر سے ہوں۔
122,میں کھیتوں کی دیکھ بھال میں مدد کرتا ہوں۔
123,مجھے گھوڑوں کی سواری پسند ہے۔
124,مجھے کام کے دوران راک میوزک سننا پسند ہے۔
125,میرے والد ایک کسان ہیں۔
126,مجھے پیلا پکانا پسند ہے۔
127,مجھے مچھلی اور چپس کی کمزوری ہے۔
128,میں سال میں دو بار یورپ جاتا ہوں۔
129,میں کالج میں آرٹ میجر ہوں۔
130,میں کرسٹوفر کولمبس کی اولاد ہوں۔
131,مجھے گلابی رنگ سے نفرت ہے۔
132,میرے والد ایک تعمیراتی کارکن تھے۔
133,میں ایک شوق کے طور پر ماؤنٹین بائیک سے لطف اندوز ہوتا ہوں۔
134,میں شراب نہیں پیتا
135,میں کافی کا ایک بہت بڑا عاشق ہوں۔
136,میں گھر سے کام کرتا ہوں۔
137,میں اپنے پیسے کاروں پر خرچ کرنا پسند کرتا ہوں۔
138,میں نے کبھی بھی مستحکم رشتہ نہیں رکھا۔
139,میں فارغ وقت میں بہت زیادہ ٹی وی دیکھتا ہوں۔
140,میں زیادہ تر دن صرف اجتماعی طور پر جم جاتا ہوں۔
141,گانے کے لیے میری پسندیدہ قسم کی موسیقی لوک موسیقی ہے۔
142,میں ایک موسیقار ہوں اور امید کرتا ہوں کہ کسی دن اسے بڑا بناؤں گا۔
143,میں پیانو اور گٹار بجاتا ہوں اور گاتا ہوں۔
144,میں بلوں کی ادائیگی میں مدد کے لیے نگران کے طور پر بھی کام کرتا ہوں۔
145,میں بلوں کی ادائیگی میں مدد کے لیے نگران کے طور پر بھی کام کرتا ہوں۔
146,میں پیانو اور گٹار بجاتا ہوں اور گاتا ہوں۔
147,گانے کے لیے میری پسندیدہ قسم کی موسیقی لوک موسیقی ہے۔
148,میں ایک موسیقار ہوں اور امید کرتا ہوں کہ کسی دن اسے بڑا بناؤں گا۔
149,میرے پاس تین کتے ہیں۔
150,میرے والد گھر گھر سیلز مین تھے۔
151,مجھے اولمپکس دیکھنا پسند ہے۔
152,میں ایک کھلے پولیمورس رشتے میں ہوں۔
153,میرے پاس کتے کے چلنے کا کاروبار بھی ہے۔
154,مجھے لوگوں کے آس پاس رہنے میں لطف آتا ہے۔
155,مجھے ہفتے میں ایک بار ورزش کرنا پسند ہے۔
156,میں ایک بے گھر پناہ گاہ میں رضاکارانہ طور پر کام کرتا ہوں۔
157,اپنے فارغ وقت میں میں رضاکارانہ کام کرتا ہوں۔
158,میں ایک پیشہ ور پہلوان ہوں۔
159,میں ایک 12 سال کی لڑکی ہوں۔
160,مجھے پوباکس کھیلنا پسند ہے۔
161,میری نیلی آنکھیں اور سرخ بال ہیں جو میری کمر تک آتے ہیں۔
162,مجھے اسکول سے نفرت ہے۔
163,میرے زیادہ دوست نہیں ہیں۔
164,میں کیلیفورنیا میں رہتا ہوں لیکن ریکارڈنگ آرٹسٹ کی مارکیٹ گزشتہ سال ختم ہو گئی تھی۔
165,میں ایک ریکارڈنگ انجینئر ہوں اور اپنے اسٹوڈیو کا مالک ہوں۔
166,کیا ہو رہا ہے میں 46 سال کا اکیلا باپ ہوں 46 بچے۔
167,میرے سابق نے دھوکہ دیا اور مجھے وکیل کے لیے چھوڑ دیا۔
168,میں اندر رہنے کو ترجیح دیتا ہوں۔
169,میں صرف اپنے دوستوں کے ساتھ تفریح کرنا چاہتا ہوں۔
170,میں نے کام کیا مجھے برگر کنگ میں پارٹ ٹائم جاب مل گئی۔
171,میں 19 سال کا ہوں اور میں اپنے والدین کے گھر سے باہر جانے کا انتظار نہیں کر سکتا۔
172,وہ مسلسل میری پیٹھ پر ہیں.
173,میں نہ پیتا ہوں اور نہ ہی منشیات یا کچھ بھی کرتا ہوں۔
174,میں 2015 کی ہونڈا سوک چلاتا ہوں۔
175,میرا پسندیدہ کھانا پیزا ہے۔
176,میں ریپ میوزک سنتا ہوں۔
177,میں فنکاروں کے لیے موسیقی تیار کرتا ہوں۔
178,میرے پالتو جانوروں کا نام چارلی ہے۔
179,میری والدہ بہت روایتی ہیں جبکہ میں زیادہ آزاد جذبے کو ترجیح دیتا ہوں۔
180,میرا خاندان اور میں ہندوستان سے ہیں۔
181,میری پسندیدہ موسیقی کی صنف ڈیتھ میٹل ہے۔
182,میں اپنے مقامی پول میں تیراکی کا کوچ ہوں۔
183,میرے والد پیشہ ورانہ طور پر وائلن بجاتے تھے۔
184,میں ایک طرف پیانو ٹیچر ہوں۔
185,مجھے شہر کے نئے حصوں کی تلاش میں لطف آتا ہے۔
186,میں بے گھر پناہ گاہ میں رضاکارانہ طور پر کام کرتا ہوں۔
187,میں انٹرنیٹ براؤز کرنے میں بہت زیادہ وقت صرف کرتا ہوں۔
188,میں ایک فیمینسٹ ہوں
189,میں صرف نامیاتی کھانے کی مصنوعات خریدتا ہوں۔
190,میرے پاس اپنی چھت پر سولر پینل ہیں۔
191,میری پسندیدہ سرگرمی راک چڑھنا ہے۔
192,میں مکینیکل انجینئر ہوں۔
193,مجھے موسم بہار میں پیدل سفر کرنا پسند ہے۔
194,میں کولوراڈو میں رہتا ہوں۔
195,چھٹیاں مجھے افسردہ کرتی ہیں۔
196,میرے پاس قوس قزح کے بال ہیں۔
197,کہنے کو میری عمر بہت پرانی ہے۔
198,میں جانوروں کا کارکن ہوں۔
199,میں اپنا وقت اپنی بلیوں کے ساتھ پرندوں کو دیکھنے میں گزارتا ہوں۔
200,مجھے کھانا پکانا پسند ہے لیکن مجھے مچھلی پکڑنا بھی پسند ہے۔
201,مجھے مزاحیہ کتابیں بھی پسند ہیں۔
202,ارے میرا نام لیری ہے اور میں شیف ہوں۔
203,اگر میں باورچی خانے میں کھانا نہیں بنا رہا ہوں تو میں یقینی طور پر پانی پر ہوں۔
204,میں نے ہائی اسکول سے گریجویشن نہیں کیا۔
205,میرا پسندیدہ کھانا شوارما ہے۔
206,میں فوج میں ہوں
207,میرے دادا نے عالمی جنگ میں خدمات انجام دیں۔
208,میرا پسندیدہ بینڈ بدمعاش فلیٹس ہے۔
209,ہم نے قومی پارکوں میں موسم گرما کا وقت گزارا۔
210,میں انڈسٹری میں پلا بڑھا ہوں۔
211,میں ایک ملکی موسیقی گلوکار ہوں۔
212,میرے پاس صفر خاندان ہے جس کے میں قریب ہوں۔
213,میرا نام جارج ہے۔
214,میرا پسندیدہ کھانا پپیتا ہے۔
215,میں شہد کی مکھیوں کا کاشتکار ہوں۔
216,میں نے اٹلی سے ایک سپر ماڈل سے شادی کی۔
217,میرا نام جارج ہے۔
218,میرے پاس صفر خاندان ہے جس کے میں قریب ہوں۔
219,میرا پسندیدہ کھانا پپیتا ہے۔
220,میں نے اٹلی سے ایک سپر ماڈل سے شادی کی۔
221,میں شہد کی مکھیوں کا کاشتکار ہوں۔
222,مجھے چاکلیٹ بارز پسند ہیں۔
223,میں وائلن اور گٹار بجاتا ہوں۔
224,میں چینی بولتا ہوں۔
225,میرے والد ایک الیکٹریشن ہیں۔
226,میں پنگ پونگ کھیلتا ہوں۔
227,مجھے فلم منجمد کے گانے گانا پسند ہے۔
228,میں اپنے دوستوں کے ساتھ کھیل کے میدان میں کھیلتا ہوں۔
229,مکی ماؤس میرا پسندیدہ کردار ہے۔
230,مجھے ہر سال ڈزنی ورلڈ جانا پسند ہے۔
231,میں تیسری جماعت میں ہوں۔
232,مجھے ہیمبرگر اور فرنچ فرائز کھانا پسند ہے۔
233,مجھے سیر کرنا پسند ہے۔
234,میں سوڈا نہیں پیتا۔
235,میرا ایک بویفرینڈ ہے.
236,میں ایک مکان میں رہتا ہوں.
237,میں نے کام کیا مجھے برگر کنگ میں پارٹ ٹائم جاب ملا۔
238,میں 19 سال کا ہوں اور میں اپنے والدین کے گھر سے باہر جانے کا انتظار نہیں کر سکتا۔
239,میں نہ پیتا ہوں اور نہ ہی منشیات یا کچھ بھی کرتا ہوں۔
240,وہ مسلسل میری پیٹھ پر ہیں.
241,میں صرف اپنے دوستوں کے ساتھ تفریح کرنا چاہتا ہوں۔
242,میں انگریزی ہسپانوی اور فرانسیسی میں روانی ہوں۔
243,میرے پسندیدہ رنگ سرخ اور چاندی ہیں۔
244,مجھے فوٹو گرافی میں دلچسپی ہے اور مجھے تصاویر لینا پسند ہے۔
245,میں اور میرا بوائے فرینڈ اگلے ہفتے ایک ساتھ اپارٹمنٹ میں جا رہے ہیں۔
246,میں ایک پرائمری اسکول ٹیچر ہوں۔
247,مجھے tacos پسند ہے۔
248,میرا ایک بھائی ہے.
249,میری تین بہنیں ہیں۔
250,مجھے کتوں سے پیار ہے۔
251,میں الاباما میں رہتا ہوں۔
252,مجھے tacos پسند ہے۔
253,میری تین بہنیں ہیں۔
254,مجھے کتوں سے پیار ہے۔
255,میں الاباما میں رہتا ہوں۔
256,میرا ایک بھائی ہے.
257,میں اکیلا ہوں اور دو کتوں کے ساتھ ہوں۔
258,میں شراب نہیں پیتا۔
259,مجھے شطرنج کھیلنا پسند ہے۔
260,میں اپنی تیس کی دہائی میں ہوں۔
261,میں الاسکا میں رہتا ہوں۔
262,میں نے اپنی روحانیت کو پورا وقت حاصل کرنے کے لیے اپنی نوکری چھوڑ دی۔
263,میں بدھ مت ہوں
264,میں نے تین ماہ سے بات نہیں کی۔
265,مجھے مراقبہ پسند ہے۔
266,میرے والدین دونوں بہت اتھلیٹک تھے۔
267,مجھے دوڑنا اور میراتھن کی تیاری کرنا پسند ہے۔
268,مجھے لائف کوچ بننے کے لیے کل ہی ایک نئی نوکری ملی ہے۔
269,میں ایک صاف کھانے والا ہوں۔
270,میں ایک چھوٹے سے شہر سے ہوں۔
271,میں وکیل بننا چاہتا ہوں۔
272,میرے خاندان نے نسلوں سے گھوڑے پالے ہیں۔
273,میری پرورش ایک گھوڑوں کے فارم میں ہوئی تھی۔
274,میرے دو بڑے بچے ہیں جو کبھی نہیں جاتے۔
275,میں دنیا کو سنبھالنے کے بارے میں تصور کرتا ہوں۔
276,میں 56 سال کی عورت ہوں۔
277,میں ایک پینٹر تھا لیکن اب میں ایک گھریلو ملازم ہوں.
278,میں اپنے سر کی حفاظت کے لیے موٹر سائیکل ہیلمٹ پہنتا ہوں۔
279,میری اصل نقل و حمل میری موٹر سائیکل ہے۔
280,میری بڑی بھوری آنکھوں کے ساتھ ہلکی جلد ہے۔
281,یہ نیلی پٹی کے ساتھ سرخ ہے لہذا جب میں دوڑتا ہوں تو یہ چمکدار ہوتا ہے۔
282,مجھے فلم منجمد کے گانے گانا پسند ہے۔
283,میں تیسری جماعت میں ہوں۔
284,میں اپنے دوستوں کے ساتھ کھیل کے میدان میں کھیلتا ہوں۔
285,مجھے ہر سال ڈزنی ورلڈ جانا پسند ہے۔
286,مکی ماؤس میرا پسندیدہ کردار ہے۔
287,میرا پسندیدہ سکیٹر روب ڈرائیڈن ہے۔
288,میرا ایک بازو ٹوٹا ہوا ہے۔
289,میں اسکیٹ بورڈر ہوں۔
290,میرے دوست تمام اسکیٹ بورڈرز ہیں۔
291,میں ہمیشہ ٹوپی پہنتا ہوں۔
292,میں انٹرنیٹ براؤز کرنے میں بہت زیادہ وقت صرف کرتا ہوں۔
293,میں ایک فیمینسٹ ہوں
294,میں صرف نامیاتی کھانے کی مصنوعات خریدتا ہوں۔
295,میرے پاس اپنی چھت پر سولر پینل ہیں۔
296,میری پسندیدہ قسم کی فلم ایک دستاویزی فلم ہے۔
297,میں ہر ہفتے ایک کتاب پڑھتا ہوں۔
298,میں نے تین ماہ قبل بطور پی اے نئی نوکری شروع کی تھی۔
299,میں اپنے شوہر کے ساتھ پنسلوانیا میں رہتی ہوں۔
300,مجھے فیشن کی پرواہ نہیں ہے۔
301,میں کیمسٹری کے لیے اسکول گیا لیکن کتابوں کی دکان میں کام کرتا ہوں۔
302,مجھے نارنجی رنگ سے نفرت ہے۔
303,میں ویک اینڈ پر ڈانس کرتا ہوں۔
304,میں وکیل بننا چاہتا ہوں۔
305,میرے خاندان نے نسلوں سے گھوڑے پالے ہیں۔
306,میں ایک چھوٹے سے شہر سے ہوں۔
307,میری پرورش ایک گھوڑوں کے فارم میں ہوئی تھی۔
308,مجھے فوٹو گرافی میں دلچسپی ہے اور مجھے تصاویر لینا پسند ہے۔
309,میں انگریزی ہسپانوی اور فرانسیسی میں روانی ہوں۔
310,میں ایک پرائمری اسکول ٹیچر ہوں۔
311,میرے پسندیدہ رنگ سرخ اور چاندی ہیں۔
312,میں اور میرا بوائے فرینڈ اگلے ہفتے ایک ساتھ اپارٹمنٹ میں جا رہے ہیں۔
313,میں کھیتوں کی دیکھ بھال میں مدد کرتا ہوں۔
314,مجھے گھوڑوں کی سواری پسند ہے۔
315,میرے والد ایک کسان ہیں۔
316,مجھے کام کے دوران راک میوزک سننا پسند ہے۔
317,مجھے فوٹو گرافی میں دلچسپی ہے اور مجھے تصاویر لینا پسند ہے۔
318,میں اور میرا بوائے فرینڈ اگلے ہفتے ایک ساتھ اپارٹمنٹ میں جا رہے ہیں۔
319,میں ایک پرائمری اسکول ٹیچر ہوں۔
320,میں انگریزی ہسپانوی اور فرانسیسی میں روانی ہوں۔
321,میں کالج کی ادائیگی کے لیے رات کو ایک بار میں کام کرتا ہوں۔
322,مجھے چکن پسند نہیں
323,میرے سنہرے بال اور نیلی آنکھیں ہیں۔
324,میں نرس بننے کے لیے کالج میں ہوں۔
325,میں نہ پیتا ہوں اور نہ ہی منشیات یا کچھ بھی کرتا ہوں۔
326,میں نے کام کیا مجھے برگر کنگ میں پارٹ ٹائم جاب مل گئی۔
327,میں صرف اپنے دوستوں کے ساتھ تفریح کرنا چاہتا ہوں۔
328,میں 19 سال کا ہوں اور میں اپنے والدین کے گھر سے باہر جانے کا انتظار نہیں کر سکتا۔
329,وہ مسلسل میری پیٹھ پر ہیں.
330,میں بچھو سے ڈرتا ہوں۔
331,میرا پسندیدہ رنگ سرمئی ہے۔
332,میں یو ایس پوسٹل سروس میں ملازم ہوں۔
333,میرے والد نیسکار کے لیے کار چلاتے تھے۔
334,مجھے چاکلیٹ بارز پسند ہیں۔
335,میں وائلن اور گٹار بجاتا ہوں۔
336,میرے والد ایک الیکٹریشن ہیں۔
337,میں پنگ پونگ کھیلتا ہوں۔
338,میرے پاس دو ونٹیج مستنگ ہیں۔
339,میری پسندیدہ موسیقی ملک ہے۔
340,مجھے ونٹیج کاروں پر کام کرنا پسند ہے۔
341,میرے پاس دو کتے ہیں۔
342,میرے پاس 5 بلیاں ہیں۔
343,میں ایک تعمیراتی کارکن ہوں۔
344,میری بلیاں میرے لیے بہت خاص ہیں۔
345,مجھے گھر بنانے میں مزہ آتا ہے۔
346,میں اسکول جانے والی بس میں سوار ہوں۔
347,میرا بھائی مجھ سے بڑا ہے۔
348,میں 13 سال کا ہوں.
349,مجھے ریاضی کی کلاس سے نفرت ہے۔
350,چیزبرگر میرا پسندیدہ کھانا ہے۔
351,میں بڑا غریب تھا.
352,میں ایک ریٹائرڈ جم ٹیچر ہوں۔
353,میں ایک سوپ کچن میں رضاکارانہ طور پر کام کرتا ہوں۔
354,مجھے جنگ کی دستاویزی فلمیں دیکھنا پسند ہے۔
355,میرے تین بچے ہیں۔
356,میری بیوی اور بچے بہترین ہیں۔
357,میری پسندیدہ آئس کریم کا ذائقہ چاکلیٹ ہے۔
358,میں ایک پلمبر ہوں۔
359,میں صرف نامیاتی کھانے کی مصنوعات خریدتا ہوں۔
360,مجھے سوشل میڈیا خاص طور پر ٹویٹر پسند ہے۔
361,میں انٹرنیٹ براؤز کرنے میں بہت زیادہ وقت صرف کرتا ہوں۔
362,میں ایک فیمینسٹ ہوں
363,میں کتے کی چستی کی کلاسوں میں مقابلہ کرتا ہوں۔
364,مجھے نارنجی رنگ سے نفرت ہے۔
365,میں کیمسٹری کے لیے اسکول گیا لیکن کتابوں کی دکان میں کام کرتا ہوں۔
366,مجھے فیشن کی پرواہ نہیں ہے۔
367,میں ویک اینڈ پر ڈانس کرتا ہوں۔
368,میں اپنے سر کی حفاظت کے لیے موٹر سائیکل ہیلمٹ پہنتا ہوں۔
369,یہ نیلی پٹی کے ساتھ سرخ ہے لہذا جب میں دوڑتا ہوں تو یہ چمکدار ہوتا ہے۔
370,میں اپنی آمدنی کو پورا کرنے کے لیے دن کے وقت ویٹریس کرتا ہوں۔
371,میری بڑی بھوری آنکھوں کے ساتھ ہلکی جلد ہے۔
372,میری اصل نقل و حمل میری موٹر سائیکل ہے۔
373,مجھے لگتا ہے کہ میں ہمیشہ زندہ رہ سکتا ہوں۔
374,میری عمر 100 سال ہے۔
375,مجھے شراب پینا اور چاندنی میں ناچنا پسند ہے۔
376,مجھے یاد ہے جب کسی کے پاس ٹیلی ویژن نہیں تھا۔
377,میں اپنی عمر کے لیے بہت مضبوط ہوں۔
378,میں ایک چھوٹے سے شہر سے ہوں۔
379,میں وکیل بننا چاہتا ہوں۔
380,میرے خاندان نے نسلوں سے گھوڑے پالے ہیں۔
381,میری پرورش ایک گھوڑوں کے فارم میں ہوئی تھی۔
382,میں ایک عورت ہوں.
383,میں اسکول ٹیچر کے طور پر کام کرتا ہوں۔
384,میں ہر ہفتے چرچ جاتا ہوں۔
385,میں باغبانی اور باہر چلنے سے لطف اندوز ہوتا ہوں۔
386,میرے پاس ایک کتا ہے۔
387,زندگی میں میرا خواب گھر سے کام کرنا ہے۔
388,میں ہر تین ماہ بعد اپنے بالوں کو رنگتا ہوں۔
389,میں جانوروں کا ڈاکٹر بننے کے لیے اسکول گیا تھا لیکن اس سے نفرت کرتا تھا۔
390,مجھے انٹرنیٹ کی لت ہے اور میں رول پلےنگ گیمز کھیلنے میں کافی وقت گزارتا ہوں۔
391,میں جانوروں کا کارکن ہوں۔
392,چھٹیاں مجھے افسردہ کرتی ہیں۔
393,کہنے کو میری عمر بہت پرانی ہے۔
394,میرے پاس اندردخش کے بال ہیں۔
395,میں اپنا وقت اپنی بلیوں کے ساتھ پرندوں کو دیکھنے میں گزارتا ہوں۔
396,میں ایک منی وین چلاتا ہوں۔
397,کافی میرا پسندیدہ مشروب ہے۔
398,میں لٹل لیگ بیس بال کی کوچنگ کرتا ہوں۔
399,مجھے شام کو شراب کا گلاس بھی پسند ہے۔
400,میرے پانچ بیٹے ہیں۔
401,میں کبھی کبھار فوڈ بینک میں مدد کرتا ہوں۔
402,میری پسندیدہ فلم مطلب لڑکیاں ہے۔
403,میں ایک بلی اور کتے کا مالک ہوں۔
404,میں پارٹی کا جانور ہوں۔
405,میں بلندیوں سے موت سے ڈرتا ہوں۔
406,میں اگلے سال بزنس اسکول جانے کا ارادہ رکھتا ہوں۔
407,میں نے 2011 میں ییل سے فنانس میں ڈگری کے ساتھ گریجویشن کیا۔
408,میں بی ایم ڈبلیو چلاتا ہوں۔
409,میرے والدین بہت امیر بینکر ہیں۔
410,میں اگلے سال بزنس اسکول جانے کا ارادہ رکھتا ہوں۔
411,میں نے 2011 میں ییل سے فنانس میں ڈگری کے ساتھ گریجویشن کیا۔
412,میرے والدین بہت امیر بینکر ہیں۔
413,میں مین ہٹن میں پلا بڑھا ہوں۔
414,میں جہاں بھی جاتا ہوں ہر قسم کے کھانے کی کوشش کر رہا ہوں۔
415,ارے میں 23 سال کا ہوں اور مجھے کھانا پسند ہے۔
416,میں ایک سال سے دنیا کا سفر کر رہا ہوں۔
417,مجھے کھانا پکانا بھی پسند ہے لیکن میں اس میں زیادہ اچھا نہیں ہوں۔
418,میرے پاس ایک یاٹ ہے اور میں اسے کرائے پر دیتا ہوں جب میں اسے استعمال نہیں کر رہا ہوں۔
419,میرے والدین بہت امیر بینکر ہیں۔
420,میں نے 2011 میں ییل سے فنانس میں ڈگری کے ساتھ گریجویشن کیا۔
421,میں بی ایم ڈبلیو چلاتا ہوں۔
422,میں اگلے سال بزنس اسکول جانے کا ارادہ رکھتا ہوں۔
423,میں صرف ملکی موسیقی سنتا ہوں۔
424,میں ایک بڑا ٹرک چلاتا ہوں اور ملک میں رہتا ہوں۔
425,میں ایک الیکٹریشن ہوں
426,میرے پاس ایک پالتو گائے ہے۔
427,میں اپنے والدین کے کھیتوں میں کام کرتا ہوں۔
428,مجھے اپنے ہاتھوں سے کام کرنا پسند ہے اور مجھے باغبانی پسند ہے۔
429,مجھے ابھی ایک گیس اسٹیشن میں کام کرنے کی نوکری ملی ہے۔
430,میرے والد مجھے اندھی تاریخوں پر سیٹ کرنے کی کوشش کرتے رہتے ہیں۔
