,Sentence
71,saya punya tiga kuda arab.
72,saya tidak punya banyak teman.
73,aku benci sekolah.
74,saya seorang gadis berusia 12 tahun.
75,saya suka bermain pobox
76,saya berumur 40 tahun.
77,Aku benci pekerjaan saya.
78,istri saya menghabiskan semua uang saya.
79,saya bekerja sebagai penjual mobil.
80,saya berencana untuk bercerai.
81,ayah saya adalah seorang penjual dari pintu ke pintu.
82,saya dalam hubungan poliamori terbuka.
83,saya punya tiga anjing.
84,saya suka menonton olimpiade
85,saya memulai pekerjaan baru sebagai pa tiga bulan lalu.
86,saya sedang hamil anak pertama saya.
87,saya membaca buku setiap minggu.
88,saya tinggal bersama suami saya di pennsylvania.
89,jenis film favorit saya adalah dokumenter.
90,saya lajang dan dengan dua anjing.
91,saya tidak minum alkohol.
92,saya suka bermain catur.
93,saya berusia tiga puluhan.
94,saya berkompetisi di kelas kelincahan anjing.
95,saya pergi ke sekolah untuk kimia tetapi bekerja di toko buku.
96,saya tidak peduli tentang mode.
97,Aku benci warna oranye.
98,saya menari di akhir pekan.
99,saya seorang pecinta kopi besar.
100,ayah saya adalah seorang pekerja konstruksi.
101,aku benci warna pink.
102,saya tidak minum alkohol.
103,saya menikmati bersepeda gunung sebagai hobi.
104,saya seorang buddha.
105,saya berhenti dari pekerjaan saya untuk mengejar spiritualitas saya penuh waktu.
106,saya belum berbicara dalam tiga bulan.
107,saya suka meditasi.
108,saya tinggal di alaska.
109,saya hanya membeli produk makanan organik.
110,saya suka media sosial terutama twitter.
111,saya menghabiskan banyak waktu browsing internet.
112,saya seorang feminis.
113,saya memenangkan medali emas di olimpiade 1992.
114,saya memiliki koleksi topi lebih dari 1000 topi.
115,musim favoritku adalah musim salju.
116,Saya memiliki kelemahan untuk es krim vanilla.
117,saya suka kucing dan punya dua kucing.
118,saya dibesarkan di peternakan kuda.
119,keluarga saya telah memelihara kuda selama beberapa generasi.
120,saya ingin menjadi pengacara.
121,saya dari kota kecil.
122,saya membantu merawat ladang.
123,saya suka menunggang kuda.
124,saya suka mendengarkan musik rock saat bekerja.
125,ayah saya adalah seorang petani.
126,saya suka memasak paella.
127,saya memiliki kelemahan untuk ikan dan keripik.
128,saya mengunjungi eropa dua kali setahun.
129,saya jurusan seni di perguruan tinggi.
130,saya keturunan christopher columbus.
131,aku benci warna pink.
132,ayah saya adalah seorang pekerja konstruksi.
133,saya menikmati bersepeda gunung sebagai hobi.
134,saya tidak minum alkohol.
135,saya seorang pecinta kopi besar.
136,saya bekerja dari rumah.
137,Saya suka menghabiskan uang saya untuk mobil.
138,Saya tidak pernah memiliki hubungan yang stabil.
139,saya terlalu banyak menonton tv di waktu senggang.
140,saya pergi ke gym hampir setiap hari hanya untuk bersosialisasi.
141,jenis musik favorit saya untuk dinyanyikan adalah musik rakyat.
142,saya seorang musisi dan berharap untuk menjadi besar suatu hari nanti.
143,saya bermain piano dan gitar dan bernyanyi.
144,saya juga bekerja sebagai kustodian untuk membantu membayar tagihan.
145,saya juga bekerja sebagai kustodian untuk membantu membayar tagihan.
146,saya bermain piano dan gitar dan bernyanyi.
147,jenis musik favorit saya untuk dinyanyikan adalah musik rakyat.
148,saya seorang musisi dan berharap untuk menjadi besar suatu hari nanti.
149,saya punya tiga anjing.
150,ayah saya adalah seorang penjual dari pintu ke pintu.
151,saya suka menonton olimpiade
152,saya dalam hubungan poliamori terbuka.
153,saya juga punya bisnis jalan-jalan anjing.
154,saya senang berada di sekitar orang-orang.
155,saya suka latihan aa kali seminggu.
156,saya menjadi sukarelawan di tempat penampungan tunawisma.
157,"di waktu luang saya, saya melakukan pekerjaan sukarela."
158,saya seorang pegulat profesional.
159,saya seorang gadis berusia 12 tahun.
160,saya suka bermain pobox
161,Saya memiliki mata biru dan rambut merah yang mencapai pinggang saya.
162,aku benci sekolah.
163,saya tidak punya banyak teman.
164,saya tinggal di california tetapi pasar artis rekaman sudah mati tahun lalu.
165,saya seorang insinyur rekaman dan memiliki studio saya sendiri.
166,whats up saya seorang ayah tunggal berusia 46 tahun 46 anak-anak.
167,mantan saya selingkuh dan meninggalkan saya untuk pengacara.
168,saya lebih suka berada di dalam.
169,saya hanya ingin bersenang-senang dengan teman-teman saya.
170,saya bekerja mengambil saya memiliki pekerjaan paruh waktu di burger king.
171,saya 19 dan saya tidak sabar untuk pindah 19 rumah orang tua saya.
172,mereka selalu di belakang saya.
173,saya tidak minum atau menggunakan narkoba atau apa pun.
174,saya mengendarai honda civic 2015.
175,makanan kesukaanku adalah pizza.
176,saya mendengarkan musik rap.
177,saya memproduksi musik untuk artis.
178,nama hewan peliharaan saya adalah charlie.
179,ibu saya sangat tradisional sementara saya lebih suka berjiwa bebas.
180,saya dan keluarga saya berasal dari india.
181,Genre musik favorit saya adalah death metal.
182,saya seorang pelatih renang di kolam renang lokal saya.
183,ayah saya bermain biola secara profesional.
184,saya seorang guru piano di samping.
185,saya menikmati menjelajahi bagian baru kota.
186,saya menjadi sukarelawan di tempat penampungan tunawisma.
187,saya menghabiskan banyak waktu browsing internet.
188,saya seorang feminis.
189,saya hanya membeli produk makanan organik.
190,saya memiliki panel surya di atap saya.
191,aktivitas favorit saya adalah panjat tebing.
192,saya seorang insinyur mesin.
193,saya suka pergi hiking di musim semi.
194,saya tinggal di colorado.
195,liburan membuatku tertekan.
196,saya punya rambut pelangi.
197,usia saya terlalu tua untuk dikatakan.
198,saya seorang aktivis hewan.
199,saya menghabiskan waktu saya mengamati burung dengan kucing saya.
200,saya suka memasak tetapi saya juga menikmati memancing.
201,Aku juga suka buku komik.
202,hai nama saya larry dan saya seorang koki.
203,jika saya tidak memasak di dapur maka saya pasti di atas air.
204,saya tidak lulus SMA.
205,makanan favorit saya adalah shawarma.
206,saya di tentara.
207,kakek saya bertugas di perang dunia a.
208,band favorit saya adalah bajingan flat.
209,kami menghabiskan cincin musim panas di taman nasional.
210,saya dibesarkan di industri.
211,saya seorang penyanyi musik country.
212,Saya tidak memiliki keluarga yang dekat dengan saya.
213,nama saya George.
214,makanan favorit saya adalah pepaya.
215,saya seorang petani lebah.
216,saya menikah dengan seorang super model dari italia.
217,nama saya George.
218,Saya tidak memiliki keluarga yang dekat dengan saya.
219,makanan favorit saya adalah pepaya.
220,saya menikah dengan seorang super model dari italia.
221,saya seorang petani lebah.
222,saya suka coklat batangan.
223,saya bermain biola dan gitar.
224,saya berbicara bahasa Tionghoa.
225,ayah saya adalah seorang tukang listrik.
226,saya bermain pingpong.
227,saya suka menyanyikan lagu-lagu dari film beku.
228,saya bermain dengan teman-teman saya di taman bermain.
229,mickey mouse adalah karakter favorit saya.
230,saya suka pergi ke dunia disney setiap tahun.
231,saya di kelas tiga.
232,saya suka makan hamburger dan kentang goreng.
233,saya suka jalan-jalan.
234,saya tidak minum soda.
235,saya punya pacar.
236,aku tinggal disebuah rumah.
237,saya bekerja mengambil saya memiliki pekerjaan paruh waktu di burger king.
238,saya 19 dan saya tidak sabar untuk pindah rumah 19 orang tua saya.
239,saya tidak minum atau menggunakan narkoba atau apa pun.
240,mereka terus-menerus di punggung saya.
241,saya hanya ingin bersenang-senang dengan teman-teman saya.
242,saya fasih berbahasa inggris spanyol dan perancis.
243,warna favorit saya adalah merah dan perak.
244,saya tertarik dengan fotografi dan suka memotret.
245,pacar saya dan saya akan pindah ke apartemen bersama minggu depan.
246,saya seorang guru sekolah dasar.
247,saya suka taco.
248,saya punya satu saudara laki-laki.
249,saya punya tiga saudara perempuan.
250,Saya suka anjing.
251,saya tinggal di alabama.
252,saya suka taco.
253,saya punya tiga saudara perempuan.
254,Saya suka anjing.
255,saya tinggal di alabama.
256,saya punya satu saudara laki-laki.
257,saya lajang dan dengan dua anjing.
258,saya tidak minum alkohol.
259,saya suka bermain catur.
260,saya berusia tiga puluhan.
261,saya tinggal di alaska.
262,saya berhenti dari pekerjaan saya untuk mengejar spiritualitas saya penuh waktu.
263,saya seorang buddha.
264,saya belum berbicara dalam tiga bulan.
265,saya suka meditasi.
266,kedua orang tua saya sangat atletis.
267,saya suka berlari dan bersiap untuk maraton.
268,saya mendapat pekerjaan baru kemarin untuk menjadi pelatih kehidupan.
269,saya pemakan bersih.
270,saya dari kota kecil.
271,saya ingin menjadi pengacara.
272,keluarga saya telah memelihara kuda selama beberapa generasi.
273,saya dibesarkan di peternakan kuda.
274,Saya memiliki dua anak dewasa yang tidak pernah berkunjung.
275,saya berfantasi tentang mengambil alih dunia.
276,saya seorang wanita berusia 56 tahun.
277,Saya dulu seorang pelukis tapi sekarang saya pembantu rumah tangga.
278,Saya memakai helm sepeda motor untuk melindungi kepala saya.
279,transportasi utama saya adalah sepeda motor saya.
280,Saya memiliki kulit terang dengan mata cokelat besar.
281,Warnanya merah dengan garis biru sehingga mengkilat saat saya balapan.
282,saya suka menyanyikan lagu-lagu dari film beku.
283,saya di kelas tiga.
284,saya bermain dengan teman-teman saya di taman bermain.
285,saya suka pergi ke dunia disney setiap tahun.
286,mickey mouse adalah karakter favorit saya.
287,skater favorit saya adalah rob dryden.
288,saya punya lengan yang patah.
289,saya seorang pemain skateboard.
290,teman-teman saya semua pemain skateboard.
291,saya selalu memakai topi.
292,saya menghabiskan banyak waktu browsing internet.
293,saya seorang feminis.
294,saya hanya membeli produk makanan organik.
295,saya memiliki panel surya di atap saya.
296,jenis film favorit saya adalah dokumenter.
297,saya membaca buku setiap minggu.
298,saya memulai pekerjaan baru sebagai pa tiga bulan lalu.
299,saya tinggal bersama suami saya di pennsylvania.
300,saya tidak peduli tentang mode.
301,saya pergi ke sekolah untuk kimia tetapi bekerja di toko buku.
302,Aku benci warna oranye.
303,saya menari di akhir pekan.
304,saya ingin menjadi pengacara.
305,keluarga saya telah memelihara kuda selama beberapa generasi.
306,saya dari kota kecil.
307,saya dibesarkan di peternakan kuda.
308,saya tertarik dengan fotografi dan suka memotret.
309,saya fasih dalam bahasa inggris spanyol dan perancis.
310,saya seorang guru sekolah dasar.
311,warna favorit saya adalah merah dan perak.
312,pacar saya dan saya akan pindah ke apartemen bersama minggu depan.
313,saya membantu merawat ladang.
314,saya suka menunggang kuda.
315,ayah saya adalah seorang petani.
316,saya suka mendengarkan musik rock saat bekerja.
317,saya tertarik dengan fotografi dan suka memotret.
318,pacar saya dan saya akan pindah ke apartemen bersama minggu depan.
319,saya seorang guru sekolah dasar.
320,saya fasih berbahasa inggris spanyol dan perancis.
321,saya bekerja di sebuah bar di malam hari untuk membayar kuliah.
322,saya tidak suka ayam.
323,Saya memiliki rambut pirang dan mata biru.
324,saya kuliah untuk menjadi perawat.
325,saya tidak minum atau menggunakan narkoba atau apa pun.
326,saya bekerja mengambil saya memiliki pekerjaan paruh waktu di burger king.
327,saya hanya ingin bersenang-senang dengan teman-teman saya.
328,saya 19 dan saya tidak sabar untuk pindah 19 rumah orang tua saya.
329,mereka terus-menerus di punggung saya.
330,saya takut kalajengking.
331,warna favoritku abu-abu.
332,saya dipekerjakan oleh layanan pos AS.
333,ayah saya mengendarai mobil untuk nascar.
334,saya suka coklat batangan.
335,saya bermain biola dan gitar.
336,ayah saya adalah seorang tukang listrik.
337,saya bermain pingpong.
338,saya memiliki dua mustang vintage.
339,musik favorit saya adalah negara.
340,saya suka bekerja pada mobil antik.
341,saya punya dua anjing.
342,saya punya 5 kucing.
343,saya seorang pekerja konstruksi.
344,kucing saya sangat istimewa bagi saya.
345,saya senang membangun rumah.
346,saya naik bus ke sekolah.
347,kakak saya lebih tua dari saya.
348,saya berumur 13 tahun.
349,aku benci kelas matematika.
350,burger keju adalah makanan favorit saya.
351,saya miskin tumbuh dewasa.
352,saya seorang pensiunan guru olahraga.
353,saya menjadi sukarelawan di dapur umum.
354,saya suka menonton film dokumenter perang.
355,saya punya tiga anak.
356,istri dan anak-anak saya adalah yang terbaik.
357,rasa es krim favorit saya adalah cokelat.
358,saya seorang tukang ledeng.
359,saya hanya membeli produk makanan organik.
360,saya suka media sosial terutama twitter.
361,saya menghabiskan banyak waktu browsing internet.
362,saya seorang feminis.
363,saya berkompetisi di kelas kelincahan anjing.
364,Aku benci warna oranye.
365,saya pergi ke sekolah untuk kimia tetapi bekerja di toko buku.
366,saya tidak peduli tentang mode.
367,saya menari di akhir pekan.
368,Saya memakai helm sepeda motor untuk melindungi kepala saya.
369,Warnanya merah dengan garis biru sehingga mengkilat saat saya balapan.
370,saya pelayan di siang hari untuk menambah penghasilan saya.
371,Saya memiliki kulit terang dengan mata cokelat besar.
372,transportasi utama saya adalah sepeda motor saya.
373,saya merasa seperti saya mungkin hidup selamanya.
374,saya berumur 100 tahun.
375,saya suka minum anggur dan menari di bawah sinar bulan.
376,Saya ingat ketika tidak ada orang yang memiliki televisi.
377,saya sangat kuat untuk usia saya.
378,saya dari kota kecil.
379,saya ingin menjadi pengacara.
380,keluarga saya telah memelihara kuda selama beberapa generasi.
381,saya dibesarkan di peternakan kuda.
382,aku seorang wanita.
383,saya bekerja sebagai guru sekolah.
384,saya menghadiri gereja setiap minggu.
385,saya menikmati berkebun dan berjalan di luar ruangan.
386,saya punya anjing.
387,impian saya dalam hidup adalah bekerja dari rumah.
388,saya mewarnai rambut saya setiap tiga bulan.
389,saya pergi ke sekolah untuk menjadi dokter hewan tetapi membencinya.
390,saya memiliki kecanduan internet dan menghabiskan banyak waktu bermain game roleplaying.
391,saya seorang aktivis hewan.
392,liburan membuatku tertekan.
393,usia saya terlalu tua untuk dikatakan.
394,saya memiliki rambut pelangi.
395,saya menghabiskan waktu saya mengamati burung dengan kucing saya.
396,saya mengendarai minivan.
397,kopi adalah minuman pilihan saya.
398,saya pelatih bisbol liga kecil.
399,Saya juga suka segelas anggur di malam hari.
400,saya punya lima anak laki-laki.
401,Saya kadang-kadang membantu di bank makanan.
402,film favorit saya adalah gadis-gadis jahat.
403,saya memiliki seekor kucing dan seekor anjing.
404,saya adalah binatang pesta.
405,saya sangat takut ketinggian.
406,saya berencana untuk pergi ke sekolah bisnis tahun depan.
407,saya lulus dari yale pada tahun 2011 dengan gelar di bidang keuangan.
408,saya mengendarai bmw.
409,orang tua saya adalah bankir yang sangat kaya.
410,saya berencana untuk pergi ke sekolah bisnis tahun depan.
411,saya lulus dari yale pada tahun 2011 dengan gelar di bidang keuangan.
412,orang tua saya adalah bankir yang sangat kaya.
413,saya dibesarkan di manhattan.
414,Saya telah mencoba semua jenis makanan ke mana pun saya pergi.
415,"hei, saya 23 dan saya suka makanan."
416,Saya telah berkeliling dunia selama bertahun-tahun.
417,Saya juga suka memasak tapi saya tidak pandai memasak.
418,Saya memiliki kapal pesiar dan saya menyewakannya ketika saya tidak menggunakannya.
419,orang tua saya adalah bankir yang sangat kaya.
420,saya lulus dari yale pada tahun 2011 dengan gelar di bidang keuangan.
421,saya mengendarai bmw.
422,saya berencana untuk pergi ke sekolah bisnis tahun depan.
423,saya hanya mendengarkan musik country.
424,saya mengendarai truk besar dan tinggal di pedesaan.
425,saya seorang tukang listrik.
426,saya punya sapi peliharaan.
427,saya bekerja di pertanian orang tua saya.
428,saya menikmati bekerja dengan tangan saya dan suka berkebun.
429,saya baru saja mendapat pekerjaan bekerja di sebuah pompa bensin.
430,ayahku terus berusaha menjebakku pada kencan buta.
431,saya takut badut karena trauma masa kecil.
432,saya diadopsi pada usia muda untuk pasangan yang lebih tua.
433,saya senang berada di sekitar orang-orang.
434,saya suka latihan aa kali seminggu.
435,saya menjadi sukarelawan di tempat penampungan tunawisma.
436,"di waktu luang saya, saya melakukan pekerjaan sukarela."
437,saya seorang pegulat profesional.
438,saya berjalan anjing untuk mencari nafkah.
439,saya juga seorang mahasiswa pascasarjana.
440,saya seorang kayaker avid.
441,Saya senang membaca jurnal dan panduan yang berhubungan dengan psikologi.
442,orang tua saya mengajari saya keterampilan bertahan hidup.
443,putri saya adalah anak ajaib.
444,saya senang pergi ke taman.
445,saya seorang dokter.
446,saya sekarang sedang mencari pekerjaan baru.
447,film favorit saya adalah jumat.
448,saya membaca dua puluh buku setahun.
449,saya hanya makan halal.
450,Saya tidak pernah mematahkan tulang di tubuh saya seumur hidup saya.
451,saya dibesarkan di rumah tangga orang tua tunggal.
452,saya baru saja dipecat dan harus mendapatkan pekerjaan baru.
453,saya bekerja di bisnis asuransi.
454,ibuku meninggal saat aku masih kecil.
455,ayah saya di tentara.
456,saya bekerja di pertanian orang tua saya.
457,saya hanya mendengarkan musik country.
458,saya mengendarai truk besar dan tinggal di pedesaan.
459,saya punya sapi peliharaan.
460,saya seorang tukang listrik.
461,saya dibesarkan di industri.
462,band favorit saya adalah bajingan flat.
463,saya seorang penyanyi musik country.
464,saya mulai bermain gitar ketika saya berusia tiga tahun.
465,saya seorang pekerja konstruksi.
466,ayah saya mengajari saya semua yang saya tahu.
467,saya senang membangun rumah.
468,kucing saya sangat istimewa bagi saya.
469,saya bekerja penuh waktu di galangan kapal.
470,saya menyumbangkan sebagian dari gaji saya untuk amal setiap bulan.
471,Saya merelakan waktu saya dengan penyelamatan kelinci lokal.
472,warna favorit saya adalah biru laut.
473,saya adalah binatang pesta.
474,saya sangat takut ketinggian.
475,Saya kadang-kadang membantu di bank makanan.
476,saya memiliki seekor kucing dan seekor anjing.
477,saya menjadi sukarelawan di tempat penampungan tunawisma.
478,ayah saya bermain biola secara profesional.
479,saya menikmati menjelajahi bagian baru kota.
480,saya seorang guru piano di samping.
481,saya memainkan beberapa instrumen.
482,saya dapat memindahkan objek dengan pikiran saya.
483,saya lahir dengan hati saya di luar tubuh saya.
484,saya anak lelaki.
485,saya harus menjalani transplantasi.
486,sejak operasi saya memiliki kekuatan aneh.
487,keluarga saya terus berkembang.
488,saya menikah dengan seorang dokter.
489,saya menikmati berjalan-jalan dengan anjing saya.
490,saya seorang pemain tenis profesional.
491,saya tinggal di rumah tiga lantai.
492,saya memiliki rambut pendek.
493,dua anjing tinggal bersamaku.
494,saya suka melakukan treadmill dan mesin dayung.
495,saya pergi ke gym secara teratur.
496,Warna favorit saya adalah biru.
497,Saya menikmati olahraga seperti lari.
498,Saya sudah menikah.
499,saya seorang vegetarian.
500,saya menikah dengan seorang dokter.
501,keluarga saya terus berkembang.
502,saya seorang pemain tenis profesional.
503,saya tinggal di rumah tiga lantai.
504,saya sudah bekerja sejak saya berumur enam belas tahun.
505,saya seorang pekerja konstruksi.
506,makanan favorit saya adalah makanan meksiko.
507,band favorit saya adalah aerosmith.
508,di waktu senggang saya suka menonton nascar racing dan ufc.
509,saya suka minum anggur dan menari di bawah sinar bulan.
510,Saya ingat ketika tidak ada orang yang memiliki televisi.
511,saya sangat kuat untuk usia saya.
512,saya merasa seperti saya mungkin hidup selamanya.
513,saya berumur 100 tahun.
514,salah satu bahasa yang sedang saya pelajari adalah bahasa spanyol.
515,bahasa saya berikutnya untuk belajar adalah Perancis.
516,kata spanyol favorit saya adalah trabajo.
517,saya seorang musisi.
518,saya 24 tahun.
519,saya suka makan di luar dengan teman-teman.
520,saya akan menikah di musim semi.
521,penyanyi favorit saya adalah taylor swift.
522,nama hewan peliharaan saya adalah charlie.
523,saya mengendarai honda civic 2015.
524,saya mendengarkan musik rap.
525,saya memproduksi musik untuk artis.
526,makanan kesukaanku adalah pizza.
527,nama hewan peliharaan saya adalah charlie.
528,saya memproduksi musik untuk artis.
529,makanan kesukaanku adalah pizza.
530,saya mengendarai honda civic 2015.
531,saya suka menyanyikan lagu-lagu dari film beku.
532,saya bermain dengan teman-teman saya di taman bermain.
533,saya di kelas tiga.
534,saya suka pergi ke dunia disney setiap tahun.
535,saya menikmati menjelajahi bagian baru kota.
536,saya menjadi sukarelawan di tempat penampungan tunawisma.
537,saya seorang guru piano di samping.
538,ayah saya bermain biola secara profesional.
539,saya memainkan beberapa instrumen.
540,saya bekerja penuh waktu di galangan kapal.
541,Saya merelakan waktu saya dengan penyelamatan kelinci lokal.
542,warna favorit saya adalah biru laut.
543,saya mantan militer.
544,saya menyumbangkan sebagian dari gaji saya untuk amal setiap bulan.
545,saya dalam hubungan poliamori terbuka.
546,saya punya tiga anjing.
547,saya suka menonton olimpiade
548,ayah saya adalah seorang penjual dari pintu ke pintu.
549,saya juga punya bisnis jalan-jalan anjing.
550,saya memiliki kecanduan internet dan menghabiskan banyak waktu bermain game roleplaying.
551,aku pingsan melihat darah.
552,saya mewarnai rambut saya setiap tiga bulan.
553,impian saya dalam hidup adalah bekerja dari rumah.
554,saya pergi ke sekolah untuk menjadi dokter hewan tetapi membencinya.
555,saya membantu mendesain game starcraft.
556,saya alergi air.
557,saya seorang pertapa.
558,saya seorang twitch streamer yang terkenal.
559,saya sedang mengerjakan membangun robot untuk menjadi tubuh saya ganda.
560,saya tinggal di rumah ayah.
561,saya menghabiskan satu dekade bekerja di bidang layanan manusia.
562,ayah saya dulu bekerja untuk home depot.
563,film horor adalah favorit saya.
564,saya punya tiga anak.
565,istri dan anak-anak saya adalah yang terbaik.
566,rasa es krim favorit saya adalah cokelat.
567,saya seorang tukang ledeng.
568,saya seorang pelatih renang di kolam renang lokal saya.
569,ibu saya sangat tradisional sementara saya lebih suka berjiwa bebas.
570,saya dan keluarga saya berasal dari india.
571,Genre musik favorit saya adalah death metal.
572,saya belajar untuk menjadi seorang programmer komputer.
573,saya seorang musisi dan berharap untuk menjadi besar suatu hari nanti.
574,saya juga bekerja sebagai kustodian untuk membantu membayar tagihan.
575,saya bermain piano dan gitar dan bernyanyi.
576,orang tua saya sangat tidak mendukung impian saya.
577,saya seorang pekerja konstruksi.
578,di waktu senggang saya suka menonton nascar racing dan ufc.
579,makanan favorit saya adalah makanan meksiko.
580,saya sudah bekerja sejak saya berumur enam belas tahun.
581,saya berkompetisi di kelas kelincahan anjing.
582,Aku benci warna oranye.
583,saya pergi ke sekolah untuk kimia tetapi bekerja di toko buku.
584,saya tidak peduli tentang mode.
585,saya menari di akhir pekan.
586,Saya tidak pernah mematahkan tulang di tubuh saya seumur hidup saya.
587,saya dibesarkan di rumah tangga orang tua tunggal.
588,saya membaca dua puluh buku setahun.
589,saya seorang pemeran pengganti sebagai pekerjaan kedua saya.
590,saya tuli sebagian.
591,saya menanam mawar di kebun saya.
592,Saya punya perpustakaan besar di rumah.
593,saya seorang pemandu wisata museum.
594,saya suka minum teh mewah.
595,saya selalu memakai topi.
596,saya punya lengan yang patah.
597,skater favorit saya adalah rob dryden.
598,teman-teman saya semua pemain skateboard.
599,saya bermain piano dan gitar dan bernyanyi.
600,jenis musik favorit saya untuk dinyanyikan adalah musik rakyat.
601,orang tua saya tidak terlalu mendukung impian saya.
602,saya juga bekerja sebagai kustodian untuk membantu membayar tagihan.
603,saya telah mengunjungi spanyol beberapa kali.
604,saya berumur 60 tahun.
605,Saya pikir saya akan pensiun dalam beberapa tahun.
606,saya seorang pustakawan.
607,Saya baru putus dengan pacar dua bulan lalu.
608,saya punya ikan peliharaan.
609,warna favorit saya adalah oranye.
610,saya berumur 18 tahun kemarin.
611,saya kelebihan berat badan dan tidak bahagia.
612,saya bekerja di panti jompo.
613,aku tidak percaya Tuhan.
614,saya menghabiskan sebagian besar waktu saya di facebook ketika saya tidak bekerja.
615,istri saya meninggalkan saya dan membawa anak-anak saya.
616,saya punya dua anjing.
617,saya suka bekerja pada mobil antik.
618,musik favorit saya adalah negara.
619,saya memiliki dua mustang vintage.
620,saya suka memasak paella.
621,saya jurusan seni di perguruan tinggi.
622,saya mengunjungi eropa dua kali setahun.
623,saya keturunan christopher columbus.
624,Saya memiliki kelemahan untuk ikan dan keripik.
625,saya pemeliharaan tinggi.
626,saya suka tan di tanning bed.
627,saya suka menghabiskan uang.
628,saya banyak makan.
629,saya suka mendengarkan britney spears.
630,penyanyi favorit saya adalah taylor swift.
631,saya suka makan di luar dengan teman-teman.
632,saya akan menikah di musim semi.
633,saya bekerja di sebuah sekolah sebagai guru TK.
634,saya berumur 24 tahun.
635,saya dipaksa untuk menikah ketika saya masih a.
636,bibi saya membantu saya melarikan diri ketika saya dari.
637,saya lahir di somalia.
638,sekarang saya tinggal di amerika serikat.
639,saya punya ikan peliharaan.
640,warna favorit saya adalah oranye.
641,Saya suka pergi hiking di pagi hari untuk melihat matahari terbenam.
642,saya berumur 18 tahun kemarin.
643,Saya baru putus dengan pacar dua bulan lalu.
644,saya tidak pernah keluar dari ohio.
645,saya bekerja untuk supermarket lokal kami.
646,band favorit saya adalah who.
647,saya punya kucing bernama spook.
648,makanan favorit saya adalah pizza dengan zaitun hitam.
649,keluarga saya tidak mendukung pilihan karir saya.
650,mobil impian saya adalah hantu rolls royce.
651,saya suka berbelanja.
652,Saya sering berbelanja sepatu dan jam tangan.
653,saat ini saya bekerja untuk dealer jam tangan.
654,saya seorang pelatih renang di kolam renang lokal saya.
655,saya sedang belajar untuk menjadi programmer komputer.
656,ibu saya sangat tradisional sementara saya lebih suka berjiwa bebas.
657,saya dan keluarga saya berasal dari india.
658,Genre musik favorit saya adalah death metal.
659,saya telah mengunjungi spanyol beberapa kali.
