,Sentence
121,나는 작은 마을에서 왔습니다.
122,나는 밭을 가꾸는 것을 돕습니다.
123,나는 말 타는 것을 좋아합니다.
124,나는 일하면서 록 음악을 듣는 것을 좋아합니다.
125,아버지는 농부입니다.
126,나는 빠에야 요리를 좋아합니다.
127,나는 피쉬 앤 칩스에 약하다.
128,나는 일 년에 두 번 유럽을 방문합니다.
129,저는 대학에서 미술을 전공하고 있습니다.
130,저는 크리스토퍼 콜럼버스의 후손입니다.
131,나는 핑크색을 싫어한다.
132,아버지는 건설 노동자였습니다.
133,취미로 산악자전거를 즐깁니다.
134,나는 술을 마시지 않습니다.
135,나는 엄청난 커피 애호가입니다.
136,나는 집에서 일한다.
137,나는 자동차에 내 돈을 쓰는 것을 좋아합니다.
138,나는 안정된 관계를 가진 적이 없다.
139,나는 여가 시간에 TV를 너무 많이 본다.
140,나는 단지 사교를 위해 대부분의 날 체육관에 간다.
141,내가 가장 좋아하는 노래 유형은 민속 음악입니다.
142,나는 음악가이고 언젠가는 그것을 크게 만들 수 있기를 바랍니다.
143,나는 피아노와 기타를 연주하고 노래합니다.
144,나는 또한 청구서 지불을 돕기 위해 관리인으로 일합니다.
145,나는 또한 청구서 지불을 돕기 위해 관리인으로 일합니다.
146,나는 피아노와 기타를 연주하고 노래합니다.
147,내가 가장 좋아하는 노래 유형은 민속 음악입니다.
148,나는 음악가이고 언젠가는 그것을 크게 만들 수 있기를 바랍니다.
149,나는 세 마리의 개가 있습니다.
150,아버지는 방문 판매원이었습니다.
151,나는 올림픽을 보는 것을 좋아합니다.
152,나는 공개적인 폴리아모러스 관계에 있습니다.
153,나는 또한 개 산책 사업을하고 있습니다.
154,나는 사람들과 함께 있는 것을 즐긴다.
155,나는 일주일에 한 번 운동하는 것을 좋아합니다.
156,저는 노숙자 보호소에서 자원봉사를 합니다.
157,여가 시간에는 자원봉사를 합니다.
158,나는 프로 레슬러입니다.
159,저는 12살 소녀입니다.
160,나는 포박스를 하는 것을 좋아합니다.
161,나는 파란 눈과 허리까지 오는 빨간 머리를 가지고 있습니다.
162,난 학교가 싫어.
163,나는 친구가 많지 않습니다.
164,저는 캘리포니아에 살고 있지만 작년에 레코딩 아티스트 시장은 죽었습니다.
165,나는 녹음 엔지니어이며 내 스튜디오를 소유하고 있습니다.
166,안녕하세요 저는 46세 싱글 아빠 46세 아이입니다.
167,내 전 애인이 바람을 피우고 나를 변호사에게 맡겼다.
168,나는 안에 있는 것을 선호한다.
169,그냥 친구들과 즐겁게 지내고 싶어요.
170,버거킹에서 아르바이트를 했습니다.
171,저는 19살이고 19 부모님 집에서 이사가는 것을 기다릴 수 없습니다.
172,그들은 끊임없이 내 뒤에 있습니다.
173,나는 술을 마시거나 마약을 하거나 아무것도 하지 않습니다.
174,저는 2015 혼다 시빅을 몰고 있습니다.
175,내가 가장 좋아하는 음식은 피자입니다.
176,나는 랩 음악을 듣습니다.
177,아티스트를 위한 음악을 제작합니다.
178,내 애완 동물 이름은 찰리입니다.
179,우리 어머니는 매우 전통적이지만 나는 더 자유로운 영혼을 선호합니다.
180,우리 가족과 나는 인도에서 왔습니다.
181,내가 가장 좋아하는 음악 장르는 데스 메탈이다.
182,나는 우리 지역 수영장의 수영 코치입니다.
183,아버지는 바이올린을 전문적으로 연주하셨습니다.
184,저는 옆에서 피아노 선생님입니다.
185,나는 도시의 새로운 부분을 탐험하는 것을 즐깁니다.
186,나는 노숙자 보호소에서 자원봉사를 합니다.
187,나는 인터넷 검색에 많은 시간을 보낸다.
188,나는 페미니스트입니다.
189,유기농 식품만 구매합니다.
190,내 지붕에 태양 전지 패널이 있습니다.
191,내가 가장 좋아하는 활동은 암벽 등반입니다.
192,저는 기계공학자입니다.
193,나는 봄에 하이킹을 가는 것을 좋아합니다.
194,나는 콜로라도에 산다.
195,휴일은 나를 우울하게 만든다.
196,나는 무지개 머리를 가지고 있습니다.
197,내 나이는 말하기에 너무 늙었다.
198,나는 동물 활동가입니다.
199,나는 고양이들과 새 관찰을 하면서 시간을 보낸다.
200,요리를 좋아하지만 낚시도 즐깁니다.
201,나는 또한 만화책을 좋아합니다.
202,안녕하세요 제 이름은 래리이고 요리사입니다.
203,내가 부엌에서 요리하지 않는다면 나는 확실히 물 위에 있습니다.
204,나는 고등학교를 졸업하지 않았다.
205,내가 가장 좋아하는 음식은 shawarma입니다.
206,나는 군대에 있다.
207,제 할아버지는 세계 대전에 참전하셨습니다.
208,내가 가장 좋아하는 밴드는 rascal flats입니다.
209,우리는 국립 공원에서 여름 링을 보냈습니다.
210,나는 업계에서 자랐습니다.
211,나는 컨트리 음악 가수입니다.
212,나는 가까운 가족이 없다.
213,저의 이름은 조지입니다.
214,내가 가장 좋아하는 음식은 파파야입니다.
215,나는 꿀벌 농부입니다.
216,나는 이탈리아의 슈퍼 모델과 결혼했다.
217,저의 이름은 조지입니다.
218,나는 가까운 가족이 없다.
219,내가 가장 좋아하는 음식은 파파야입니다.
220,나는 이탈리아의 슈퍼 모델과 결혼했다.
221,나는 꿀벌 농부입니다.
222,나는 초콜릿 바를 좋아합니다.
223,나는 바이올린과 기타를 연주합니다.
224,나는 중국어를 할 수 있습니다.
225,아버지는 전기공입니다.
226,나는 탁구를 친다.
227,저는 겨울왕국 영화의 노래를 부르는 것을 좋아합니다.
228,나는 놀이터에서 친구들과 놀아요.
229,미키마우스는 내가 가장 좋아하는 캐릭터다.
230,나는 매년 디즈니 월드에 가는 것을 좋아합니다.
231,저는 3학년입니다.
232,나는 햄버거와 감자 튀김을 먹는 것을 좋아합니다.
233,나는 산책하는 것을 좋아합니다.
234,나는 소다를 마시지 않습니다.
235,나는 남자 친구가 있습니다.
236,나는 집에 산다.
237,버거킹에서 아르바이트를 했습니다.
238,저는 19살이고 19 부모님 집에서 이사를 오기 위해 기다릴 수 없습니다.
239,나는 술을 마시거나 마약을 하거나 아무것도 하지 않습니다.
240,그들은 끊임없이 내 뒤에 있습니다.
241,그냥 친구들과 즐겁게 지내고 싶어요.
242,나는 영어 스페인어와 프랑스어에 능통합니다.
243,내가 가장 좋아하는 색상은 빨간색과 은색입니다.
244,나는 사진에 관심이 있고 사진을 찍는 것을 좋아합니다.
245,내 남자 친구와 나는 다음 주에 함께 아파트로 이사 할 것입니다.
246,저는 초등학교 교사입니다.
247,난 타코를 좋아해.
248,나는 형제가 한 명 있다.
249,나는 세 자매가 있습니다.
250,나는 개를 사랑 해요.
251,나는 앨라배마에 산다.
252,난 타코를 좋아해.
253,나는 세 자매가 있습니다.
254,나는 개를 사랑 해요.
255,나는 앨라배마에 산다.
256,나는 형제가 한 명 있다.
257,나는 독신이고 두 마리의 개와 함께.
258,나는 술을 마시지 않습니다.
259,나는 체스를 좋아한다.
260,저는 30대입니다.
261,나는 알래스카에 산다.
262,나는 평생 동안 영성을 추구하기 위해 직장을 그만두었습니다.
263,나는 불교도입니다.
264,나는 3개월 동안 말을 하지 않았다.
265,나는 명상을 좋아한다.
266,부모님은 두 분 다 운동 능력이 뛰어났습니다.
267,나는 달리기와 마라톤 준비를 좋아합니다.
268,저는 어제 인생 코치로 새 직장을 얻었습니다.
269,나는 깨끗한 먹는 사람입니다.
270,나는 작은 마을에서 왔습니다.
271,저는 변호사가 되고 싶습니다.
272,우리 가족은 여러 세대에 걸쳐 말을 키웠습니다.
273,나는 말 농장에서 자랐다.
274,나는 결코 방문하지 않는 두 명의 성인 자녀가 있습니다.
275,나는 세계를 장악하는 것에 대한 환상을 가지고 있습니다.
276,저는 56세 여성입니다.
277,나는 화가였지만 지금은 가사도우미입니다.
278,나는 내 머리를 보호하기 위해 오토바이 헬멧을 착용합니다.
279,내 주요 교통 수단은 오토바이입니다.
280,나는 큰 갈색 눈을 가진 밝은 피부를 가지고 있습니다.
281,파란색 줄무늬가 있는 빨간색이므로 경주할 때 반짝입니다.
282,저는 겨울왕국 영화의 노래를 부르는 것을 좋아합니다.
283,저는 3학년입니다.
284,나는 놀이터에서 친구들과 놀아요.
285,나는 매년 디즈니 월드에 가는 것을 좋아합니다.
286,미키마우스는 내가 가장 좋아하는 캐릭터다.
287,내가 가장 좋아하는 스케이터는 Rob Dryden입니다.
288,팔이 부러졌어요.
289,나는 스케이트보더입니다.
290,내 친구들은 모두 스케이트보더다.
291,나는 항상 모자를 쓰고 있어요.
292,나는 인터넷 검색에 많은 시간을 보낸다.
293,나는 페미니스트입니다.
294,유기농 식품만 구매합니다.
295,내 지붕에 태양 전지 패널이 있습니다.
296,내가 가장 좋아하는 종류의 영화는 다큐멘터리입니다.
297,나는 매주 책을 읽습니다.
298,저는 3개월 전에 아빠로 새 일을 시작했습니다.
299,나는 펜실베니아에서 남편과 함께 살고 있습니다.
300,나는 패션에 관심이 없다.
301,나는 화학을 위해 학교에 다녔지만 서점에서 일했습니다.
302,나는 주황색을 싫어한다.
303,나는 주말에 춤을 춥니다.
304,저는 변호사가 되고 싶습니다.
305,우리 가족은 여러 세대에 걸쳐 말을 키웠습니다.
306,나는 작은 마을에서 왔습니다.
307,나는 말 농장에서 자랐다.
308,나는 사진에 관심이 있고 사진을 찍는 것을 좋아합니다.
309,나는 영어 스페인어와 프랑스어에 능통합니다.
310,저는 초등학교 교사입니다.
311,내가 가장 좋아하는 색상은 빨간색과 은색입니다.
312,내 남자 친구와 나는 다음 주에 함께 아파트로 이사 할 것입니다.
313,나는 밭을 가꾸는 것을 돕습니다.
314,나는 말 타는 것을 좋아합니다.
315,아버지는 농부입니다.
316,나는 일하면서 록 음악을 듣는 것을 좋아합니다.
317,나는 사진에 관심이 있고 사진을 찍는 것을 좋아합니다.
318,내 남자 친구와 나는 다음 주에 함께 아파트로 이사 할 것입니다.
319,저는 초등학교 교사입니다.
320,나는 영어 스페인어와 프랑스어에 능통합니다.
321,나는 대학 등록금을 마련하기 위해 밤에 술집에서 일한다.
322,나는 치킨을 좋아하지 않는다.
323,나는 금발 머리와 파란 눈을 가지고 있습니다.
324,저는 간호사가 되기 위해 대학에 다니고 있습니다.
325,나는 술을 마시거나 마약을 하거나 아무것도 하지 않습니다.
326,버거킹에서 아르바이트를 했습니다.
327,그냥 친구들과 즐겁게 지내고 싶어요.
328,저는 19살이고 19 부모님 집에서 이사가는 것을 기다릴 수 없습니다.
329,그들은 끊임없이 내 뒤에 있습니다.
330,저는 전갈이 무서워요.
331,내가 가장 좋아하는 색상은 회색입니다.
332,나는 미국 우편 서비스에 고용되어 있습니다.
333,아버지는 나스카를 위해 차를 몰았다.
334,나는 초콜릿 바를 좋아합니다.
335,나는 바이올린과 기타를 연주합니다.
336,아버지는 전기공입니다.
337,나는 탁구를 친다.
338,나는 두 개의 빈티지 머스탱을 소유하고 있다.
339,내가 가장 좋아하는 음악은 컨트리입니다.
340,빈티지 자동차 작업을 좋아합니다.
341,나는 두 마리의 개가 있습니다.
342,나는 고양이 5마리가 있다.
343,나는 건설 노동자입니다.
344,내 고양이는 나에게 매우 특별합니다.
345,나는 집을 짓는 것을 즐긴다.
346,나는 버스를 타고 학교에 갑니다.
347,내 동생은 나보다 나이가 많다.
348,나는 13 살이야.
349,나는 수학 수업이 싫어.
350,치즈버거는 내가 가장 좋아하는 음식이다.
351,나는 가난하게 자랐다.
352,저는 은퇴한 체육 교사입니다.
353,나는 급식소에서 자원 봉사합니다.
354,나는 전쟁 다큐멘터리 보는 것을 좋아한다.
355,나는 세 자녀가 있습니다.
356,내 아내와 아이들이 최고입니다.
357,내가 가장 좋아하는 아이스크림 맛은 초콜릿입니다.
358,저는 배관공입니다.
359,유기농 식품만 구매합니다.
360,"나는 소셜 미디어, 특히 트위터를 좋아합니다."
361,나는 인터넷 검색에 많은 시간을 보낸다.
362,나는 페미니스트입니다.
363,나는 개 민첩성 수업에서 경쟁합니다.
364,나는 주황색을 싫어한다.
365,나는 화학을 위해 학교에 다녔지만 서점에서 일했습니다.
366,나는 패션에 관심이 없다.
367,나는 주말에 춤을 춥니다.
368,나는 내 머리를 보호하기 위해 오토바이 헬멧을 착용합니다.
369,파란색 줄무늬가 있는 빨간색이므로 경주할 때 반짝입니다.
370,나는 내 수입을 보충하기 위해 낮 동안 웨이트리스.
371,나는 큰 갈색 눈을 가진 밝은 피부를 가지고 있습니다.
372,내 주요 교통 수단은 오토바이입니다.
373,영원히 살 수 있을 것 같아요.
374,저는 100세입니다.
375,나는 와인을 마시고 달빛 아래에서 춤을 추는 것을 좋아합니다.
376,아무도 텔레비전이 없었을 때를 기억합니다.
377,나는 내 나이에 매우 강하다.
378,나는 작은 마을에서 왔습니다.
379,저는 변호사가 되고 싶습니다.
380,우리 가족은 여러 세대에 걸쳐 말을 키웠습니다.
381,나는 말 농장에서 자랐다.
382,난 여자 다.
383,나는 학교 교사로 일합니다.
384,나는 매주 교회에 참석합니다.
385,나는 정원 가꾸기와 야외 산책을 즐깁니다.
386,나는 개가있다.
387,내 인생의 꿈은 집에서 일하는 것입니다.
388,나는 3개월에 한 번씩 머리를 염색한다.
389,나는 수의사가 되려고 학교에 다녔지만 그게 싫었다.
390,나는 인터넷 중독이 있고 롤플레잉 게임을 하는 데 많은 시간을 보냅니다.
391,저는 동물 활동가입니다.
392,휴일은 나를 우울하게 만든다.
393,내 나이는 말하기에 너무 늙었다.
394,나는 무지개 머리를 가지고 있습니다.
395,나는 고양이들과 새 관찰을 하면서 시간을 보낸다.
396,나는 미니 밴을 운전합니다.
397,커피는 내가 선호하는 음료입니다.
398,나는 리틀 리그 야구를 지도한다.
399,나는 또한 저녁에 와인 한 잔을 좋아합니다.
400,나는 다섯 아들이 있습니다.
401,나는 가끔 푸드뱅크에서 일을 돕습니다.
402,내가 가장 좋아하는 영화는 비열한 소녀들입니다.
403,나는 고양이와 개를 소유하고 있습니다.
404,나는 파티 동물입니다.
405,나는 높이를 엄청나게 두려워합니다.
406,나는 내년에 경영대학원에 갈 계획이다.
407,저는 2011년에 예일대에서 재무 학위로 졸업했습니다.
408,나는 bmw를 운전합니다.
409,나의 부모님은 매우 부유한 은행가이다.
410,나는 내년에 경영대학원에 갈 계획이다.
411,저는 2011년에 예일대에서 재무 학위로 졸업했습니다.
412,나의 부모님은 매우 부유한 은행가이다.
413,나는 맨해튼에서 자랐다.
414,나는 내가 가는 곳마다 모든 종류의 음식을 시험해 보았다.
415,안녕하세요 저는 23살이고 음식을 좋아합니다.
416,나는 몇 년 동안 세계를 여행했습니다.
417,나는 또한 요리를 좋아하지만 잘하지 않습니다.
418,나는 요트를 소유하고 있으며 사용하지 않을 때 임대합니다.
419,나의 부모님은 매우 부유한 은행가이다.
420,저는 2011년에 예일대에서 재무 학위로 졸업했습니다.
421,나는 bmw를 운전합니다.
422,나는 내년에 경영대학원에 갈 계획이다.
423,나는 컨트리 음악만 듣는다.
424,나는 큰 트럭을 운전하고 시골에 살고 있습니다.
425,저는 전기공입니다.
426,나는 애완용 소가 있습니다.
427,나는 부모님 농장에서 일한다.
428,나는 손으로 일하는 것을 즐기고 정원 가꾸기를 좋아합니다.
429,나는 방금 주유소에서 일하게 되었습니다.
430,아버지는 계속 저에게 소개팅을 시키려고 하십니다.
431,어린 시절 트라우마 때문에 광대가 무서워요.
432,나는 어린 나이에 나이 많은 부부에게 입양되었습니다.
433,나는 사람들과 함께 있는 것을 즐긴다.
434,나는 일주일에 한 번 운동하는 것을 좋아합니다.
435,저는 노숙자 보호소에서 자원봉사를 합니다.
436,여가 시간에는 자원봉사를 합니다.
437,나는 프로 레슬러입니다.
438,나는 생계를 위해 개를 산책시킵니다.
439,저도 대학원생입니다.
440,나는 열렬한 카약 선수입니다.
441,나는 심리학과 관련된 저널과 가이드를 읽는 것을 즐깁니다.
442,부모님은 나에게 생존 기술을 가르쳐 주셨어.
443,내 딸은 신동입니다.
444,나는 공원에 가는 것을 즐긴다.
445,나는 의사입니다.
446,나는 지금 새로운 직업을 찾고 있습니다.
447,내가 가장 좋아하는 영화는 금요일입니다.
448,나는 일년에 스무 권의 책을 읽습니다.
449,저는 코셔만 먹습니다.
450,나는 살면서 한 번도 내 몸의 뼈를 부러뜨린 적이 없다.
451,나는 한부모 가정에서 자랐다.
452,나는 최근에 해고되었고 새 직장을 구해야 했습니다.
453,나는 보험 사업에서 일한다.
454,엄마는 내가 어렸을 때 돌아가셨다.
455,아버지는 군대에 있습니다.
456,나는 부모님 농장에서 일한다.
457,나는 컨트리 음악만 듣는다.
458,나는 큰 트럭을 운전하고 시골에 살고 있습니다.
459,나는 애완용 소가 있습니다.
460,저는 전기공입니다.
461,나는 업계에서 자랐습니다.
462,내가 가장 좋아하는 밴드는 rascal flats입니다.
463,나는 컨트리 음악 가수입니다.
464,나는 세 살 때 기타를 치기 시작했다.
465,나는 건설 노동자입니다.
466,아버지는 내가 아는 모든 것을 가르쳐 주셨습니다.
467,나는 집을 짓는 것을 즐긴다.
468,내 고양이는 나에게 매우 특별합니다.
469,나는 조선소에서 풀타임으로 일한다.
470,나는 매달 월급의 일부를 자선단체에 기부한다.
471,나는 지역 토끼 구조와 함께 시간을 자원 봉사합니다.
472,내가 가장 좋아하는 색상은 네이비 블루입니다.
473,나는 파티 동물입니다.
474,나는 고소공포증이 심하다.
475,나는 가끔 푸드뱅크에서 일을 돕습니다.
476,나는 고양이와 개를 소유하고 있습니다.
477,나는 노숙자 보호소에서 자원봉사를 합니다.
478,아버지는 바이올린을 전문적으로 연주하셨습니다.
479,나는 도시의 새로운 부분을 탐험하는 것을 즐깁니다.
480,저는 옆에서 피아노 선생님입니다.
481,나는 여러 악기를 연주합니다.
482,나는 마음으로 물건을 움직일 수 있다.
483,나는 몸 밖에 있는 마음을 가지고 태어났다.
484,저는 남자입니다.
485,이식을 받아야 했습니다.
486,수술 이후로 나는 이상한 능력을 갖게 되었습니다.
487,내 가족은 지속적으로 성장하고 있습니다.
488,저는 의사와 결혼했습니다.
489,나는 강아지와 함께 긴 산책을 즐깁니다.
490,나는 프로 테니스 선수입니다.
491,나는 3층 집에 산다.
492,나는 짧은 머리를하고있다.
493,두 마리의 개가 나와 함께 살고 있습니다.
494,나는 러닝 머신과 로잉 머신을 하는 것을 좋아합니다.
495,나는 정기적으로 체육관에 간다.
496,내가 가장 좋아하는 색은 파란색입니다.
497,나는 달리기와 같은 스포츠를 즐긴다.
498,나 결혼 했어.
499,난 채식주의 자이다.
500,나는 의사와 결혼했다.
501,내 가족은 지속적으로 성장하고 있습니다.
502,나는 프로 테니스 선수입니다.
503,나는 3층 집에 산다.
504,나는 열여섯 살 때부터 일을 했습니다.
505,나는 건설 노동자입니다.
506,내가 가장 좋아하는 음식은 멕시코 음식입니다.
507,내가 가장 좋아하는 밴드는 Aerosmith입니다.
508,여가 시간에는 nascar 경주와 ufc를 보는 것을 좋아합니다.
509,나는 와인을 마시고 달빛 아래에서 춤을 추는 것을 좋아합니다.
510,아무도 텔레비전이 없었을 때를 기억합니다.
511,나는 내 나이에 매우 강하다.
512,영원히 살 수 있을 것 같아요.
513,저는 100세입니다.
514,내가 현재 공부하고 있는 언어 중 하나는 스페인어입니다.
515,다음으로 공부할 언어는 프랑스어입니다.
516,내가 가장 좋아하는 스페인어 단어는 trabajo입니다.
517,나는 음악가입니다.
518,나는 24 세다.
519,나는 친구들과 외식하는 것을 좋아합니다.
520,나는 봄에 결혼한다.
521,내가 가장 좋아하는 가수는 테일러 스위프트다.
522,내 애완 동물 이름은 찰리입니다.
523,저는 2015 혼다 시빅을 몰고 있습니다.
524,나는 랩 음악을 듣습니다.
525,아티스트를 위한 음악을 제작합니다.
526,내가 가장 좋아하는 음식은 피자입니다.
527,내 애완 동물 이름은 찰리입니다.
528,아티스트를 위한 음악을 제작합니다.
529,내가 가장 좋아하는 음식은 피자입니다.
530,저는 2015 혼다 시빅을 몰고 있습니다.
531,저는 겨울왕국 영화의 노래를 부르는 것을 좋아합니다.
532,나는 놀이터에서 친구들과 놀아요.
533,나는 3학년이야.
534,나는 매년 디즈니 월드에 가는 것을 좋아합니다.
535,나는 도시의 새로운 부분을 탐험하는 것을 즐깁니다.
536,나는 노숙자 보호소에서 자원봉사를 합니다.
537,저는 옆에서 피아노 선생님입니다.
538,아버지는 바이올린을 전문적으로 연주하셨습니다.
539,나는 여러 악기를 연주합니다.
540,나는 조선소에서 풀타임으로 일한다.
541,나는 지역 토끼 구조와 함께 시간을 자원 봉사합니다.
542,내가 가장 좋아하는 색상은 네이비 블루입니다.
543,저는 전직 군인입니다.
544,나는 매달 월급의 일부를 자선단체에 기부한다.
545,나는 공개적인 폴리아모러스 관계에 있습니다.
546,나는 세 마리의 개가 있습니다.
547,나는 올림픽을 보는 것을 좋아합니다.
548,아버지는 방문 판매원이었습니다.
549,나는 또한 개 산책 사업을하고 있습니다.
550,나는 인터넷 중독이 있고 롤플레잉 게임을 하는 데 많은 시간을 보냅니다.
551,나는 피를 보면 기절한다.
552,나는 3개월에 한 번씩 머리를 염색한다.
553,내 인생의 꿈은 집에서 일하는 것입니다.
554,나는 수의사가 되려고 학교에 다녔지만 그게 싫었다.
555,스타크래프트 게임 디자인을 도왔습니다.
556,나는 물에 알레르기가 있습니다.
557,나는 은둔자입니다.
558,저는 유명한 트위치 스트리머입니다.
559,나는 내 몸을 두 배로 만드는 로봇을 만드는 일을 하고 있다.
560,나는 집에있어 아빠입니다.
561,저는 10년 동안 인적 서비스 분야에서 일했습니다.
562,아버지는 홈디포에서 일했습니다.
563,공포 영화는 내가 가장 좋아하는 것입니다.
564,나는 세 자녀가 있습니다.
565,내 아내와 아이들이 최고입니다.
566,내가 가장 좋아하는 아이스크림 맛은 초콜릿입니다.
567,저는 배관공입니다.
568,나는 우리 지역 수영장의 수영 코치입니다.
569,우리 어머니는 매우 전통적이지만 나는 더 자유로운 영혼을 선호합니다.
570,우리 가족과 나는 인도에서 왔습니다.
571,내가 가장 좋아하는 음악 장르는 데스 메탈이다.
572,저는 컴퓨터 프로그래머가 되기 위해 공부하고 있습니다.
573,나는 음악가이고 언젠가는 그것을 크게 만들 수 있기를 바랍니다.
574,나는 또한 청구서 지불을 돕기 위해 관리인으로 일합니다.
575,나는 피아노와 기타를 연주하고 노래합니다.
576,나의 부모님은 꿈을 별로 지지하지 않는다.
577,나는 건설 노동자입니다.
