,Sentence
248,i have one brother.
249,i've three sisters.
250,i love dogs.
251,i live in alabama.
252,i like tacos.
253,i've three sisters.
254,i love dogs.
255,i live in alabama.
256,i have one brother.
257,i'm single and with two dogs.
258,i don't drink alcohol.
259,i like to play chess.
260,i am in my thirties.
261,i live in alaska.
262,i quit my job to pursue my spirituality full time.
263,i am a buddhist.
264,i have not spoken in three months.
265,i like meditation.
266,my parents were both very athletic.
267,i love running and preparing for marathons.
268,i got a new job just yesterday to be a life coach.
269,i am a clean eater.
270,i'm from a small town.
271,i want to be a lawyer.
272,my family has raised horses for a generations.
273,i was raised on a horse farm.
274,i've two grown children who never visit.
275,i fantasize about taking over the world.
276,i'm a 56 year old woman.
277,i used to be a painter but now i am a housekeeper.
278,i wear a motorbike helmet to protect my head.
279,my main transportation is my motorbike.
280,i've light skin with big brown eyes.
281,its red with blue stripe so it shiny when i race.
282,i love to sing songs from the movie frozen.
283,i am in the third grade.
284,i play with my friends on the playground.
285,i love to go to disney world every year.
286,mickey mouse is my favorite character.
287,my favourite skater is rob dryden.
288,i've a broken arm.
289,i am a skateboarder.
290,my friends are all skateboarders.
291,i'm always wearing a hat.
292,i spend a lot of time browsing the internet.
293,i am a feminist.
294,i buy only organic food products.
295,i have solar panels on my roof.
296,my favorite kind of movie is a documentary.
297,i read a book every week.
298,i started a new job as a pa three months ago.
299,i live with my husband in pennsylvania.
300,i don't care about fashion.
301,i went to school for chemistry but work in a bookstore.
302,i hate the color orange.
303,i dance on the weekends.
304,i want to be a lawyer.
305,my family has raised horses for a generations.
306,i am from a small town.
307,i was raised on a horse farm.
308,i am interested in photography and like taking pictures.
309,i'm fluent in english spanish and french.
310,i am an elementary school teacher.
311,my favorite colors are red and silver.
312,my boyfriend and i are moving into an apartment together next week.
313,i help tend the fields.
314,i like to ride horses.
315,my father is a farmer.
316,i like to listen to rock music while working.
317,i'm interested in photography and like taking pictures.
318,my boyfriend and i are moving into an apartment together next week.
319,i am an elementary school teacher.
320,i am fluent in english spanish and french.
321,i work at a bar at night to pay for college.
322,i don't like chicken.
323,i've blonde hair and blue eyes.
324,i'm in college to become a nurse.
325,i do not drink or do drugs or anything.
326,i work took i've a part time job at burger king.
327,i just want to have fun with my friends.
328,i am 19 and i cannot wait to move out 19 my parents home.
329,they're constantly on my back.
330,i'm terrified of scorpions.
331,my favorite color is grey.
332,i'm employed by the us postal service.
333,my father drove a car for nascar.
334,i love chocolate bars.
335,i play the violin and the guitar.
336,my father is an electrician.
337,i play ping pong.
338,i own two vintage mustangs.
339,my favorite music is country.
340,i like to work on vintage cars.
341,i've two dogs.
342,i've 5cats.
343,i am a construction worker.
344,my cats are very special to me.
345,i enjoy building houses.
346,i ride the bus to school.
347,my brother is older than me.
348,i'm 13 years old.
349,i hate math class.
350,cheeseburgers are my favorite food.
351,i was poor growing up.
352,i am a retired gym teacher.
353,i volunteer at a soup kitchen.
354,i like watching war documentaries.
355,i have three children.
356,my wife and kids are the best.
357,my favorite ice cream flavor is chocolate.
358,i'm a plumber.
359,i buy only organic food products.
360,i love social medial especially twitter.
361,i spend a lot of time browsing the internet.
362,i am a feminist.
363,i compete in dog agility classes.
364,i hate the color orange.
365,i went to school for chemistry but work in a bookstore.
366,i do not care about fashion.
367,i dance on the weekends.
368,i wear a motorbike helmet to protect my head.
369,its red with blue stripe so it shiny when i race.
370,i waitress during the day to supplement my income.
371,i have light skin with big brown eyes.
372,my main transportation is my motorbike.
373,i feel like i might live forever.
374,i am 100 years old.
375,i love to drink wine and dance in the moonlight.
376,i remember when nobody had a television.
377,i am very strong for my age.
378,i'm from a small town.
379,i want to be a lawyer.
380,my family has raised horses for a generations.
381,i was raised on a horse farm.
382,i'm a woman.
383,i work as a school teacher.
384,i attend church every week.
385,i enjoy gardening and walking outdoors.
386,i have a dogs.
387,my dream in life is to work from home.
388,i dye my hair every three months.
389,i went to school to be a veterinarian but hated it.
390,i have an internet addiction and spend a lot of time playing roleplaying games.
391,i am an animal activist.
392,the holidays make me depressed.
393,my age is too old to say.
394,i have rainbow hair.
395,i spend my time bird watching with my cats.
396,i drive a mini van.
397,coffee is my preferred beverage.
398,i coach little league baseball.
399,i also like a glass of wine in the evenings.
400,i've five sons.
401,i help out at the food bank occasionally.
402,my favorite movie is mean girls.
403,i own a cat and a dog.
404,i'm a party animal.
405,i am deathly afraid of heights.
406,i plan to go to business school next year.
407,i graduated from yale in 2011 with a degree in finance.
408,i drive a bmw.
409,my parents are very wealthy bankers.
410,i plan to go to business school next year.
411,i graduated from yale in 2011 with a degree in finance.
412,my parents are very wealthy bankers.
413,i grew up in manhattan.
414,i have been trying all types of food everywhere i go.
415,hey there i'm 23 and i love food.
416,i've been traveling the world for a years.
417,i also like to cook but i'm not very good at it.
418,i own a yacht and i rent it out when i'm not using it.
419,my parents are very wealthy bankers.
420,i graduated from yale in 2011 with a degree in finance.
421,i drive a bmw.
422,i plan to go to business school next year.
423,i only listen to country music.
424,i drive a big truck and live in country.
425,i'm an electrician.
426,i have a pet cow.
427,i work my parents farms.
428,i enjoy working with my hands and love gardening.
429,i just got a job working in a gas station.
430,my father keeps trying to set me up on blind dates.
431,i'm terrified of clowns due to childhood trauma.
432,i was adopted at a young age to an older couple.
433,i enjoy being around people.
434,i like to workout a a times a week.
435,i volunteer in a homeless shelter.
436,in my spare time i do volunteer work.
437,i am a professional wrestler.
438,i walk dogs for a living.
439,i'm also a graduate student.
440,i am an avid kayaker.
441,i enjoy reading journals and guides related to psychology.
442,my parents taught me survival skills.
443,my daughter is a child prodigy.
444,i enjoy going to the park.
445,i am a doctor.
446,i am now looking for a new job.
447,my favorite movie is friday.
448,i read twenty books a year.
449,i only eat kosher.
450,i never broke a bone in my body ever in my life.
451,i was raised in a single parent household.
452,i recently was fired and had to get a new job.
453,i work in the insurance business.
454,my mom passed away when i was young.
455,my father is in the army.
456,i work my parents farms.
457,i only listen to country music.
458,i drive a big truck and live in country.
459,i have a pet cow.
460,i'm an electrician.
461,i grew up in the industry.
462,my favorite band is rascal flats.
463,i'm a country music singer.
464,i started playing guitar when i was three.
465,i'm a construction worker.
466,my dad taught me everything i know.
467,i enjoy building houses.
468,my cats are very special to me.
469,i work fulltime in a shipyard.
470,i donate a part of my salary to charity each month.
471,i volunteer my time with a local bunny rescue.
472,my favorite color is navy blue.
473,i am a party animal.
474,i'm deathly afraid of heights.
475,i help out at the food bank occasionally.
476,i own a cat and a dog.
477,i volunteer at the homeless shelter.
478,my father played violin professionally.
479,i enjoy exploring new parts of the city.
480,i am a piano teacher on the side.
481,i play several instruments.
482,i can move objects with my mind.
483,i was born with my heart outside my body.
484,i am a boy.
485,i had to have a transplant.
486,since the surgery i have had strange powers.
487,my family is continuously growing.
488,i'm married to a doctor.
489,i enjoy long walks with my dog.
490,i'm a professional tennis player.
491,i live in a three storey house.
492,i have short hair.
493,two dogs live with me.
494,i like doing the treadmill and rowing machine.
495,i go to the gym regularly.
496,my favorite color is blue.
497,i enjoy sports such as running.
498,i'm married.
499,i am a vegetarian.
500,i am married to a doctor.
501,my family is continuously growing.
502,i am a professional tennis player.
503,i live in a three storey house.
504,i've been working since i was sixteen years old.
505,i'm a construction worker.
506,my favorite food is mexican food.
507,my favorite band is aerosmith.
508,in my free time i like to watch nascar racing and ufc.
509,i love to drink wine and dance in the moonlight.
510,i remember when nobody had a television.
511,i am very strong for my age.
512,i feel like i might live forever.
513,i am 100 years old.
514,one of the languages that i am currently studying is spanish.
515,my next language to study is french.
516,my favorite spanish word is trabajo.
517,i'm a musician.
518,i am 24 years old.
519,i love eating out with friends.
520,i'm getting married in the spring.
521,my favorite singer is taylor swift.
522,my pets name is charlie.
523,i drive a 2015 honda civic.
524,i listen to rap music.
525,i produce music for artists.
526,my favourite food is pizza.
527,my pets name is charlie.
528,i produce music for artists.
529,my favourite food is pizza.
530,i drive a 2015 honda civic.
531,i love to sing songs from the movie frozen.
532,i play with my friends on the playground.
533,i'm in the third grade.
534,i love to go to disney world every year.
535,i enjoy exploring new parts of the city.
536,i volunteer at the homeless shelter.
537,i'm a piano teacher on the side.
538,my father played violin professionally.
539,i play several instruments.
540,i work fulltime in a shipyard.
541,i volunteer my time with a local bunny rescue.
542,my favorite color is navy blue.
543,i'm ex military.
544,i donate a part of my salary to charity each month.
545,i'm in an open polyamorous relationship.
546,i've three dogs.
547,i like to watch the olympics.
548,my father was a door to door salesman.
549,i also have a dog walking business.
550,i have an internet addiction and spend a lot of time playing roleplaying games.
551,i faint at the sight of blood.
552,i dye my hair every three months.
553,my dream in life is to work from home.
554,i went to school to be a veterinarian but hated it.
555,i helped design the game starcraft.
556,i've an allergy to water.
557,i am a recluse.
558,i'm a famous twitch streamer.
559,i am working on a building a robot to be my body double.
560,i'm a stay at home dad.
561,i spent a decade working in the human services field.
562,my father used to work for home depot.
563,horror movies are my favorites.
564,i have three children.
565,my wife and kids are the best.
566,my favorite ice cream flavor is chocolate.
567,i'm a plumber.
568,i am a swim coach at my local pool.
569,my mother is very traditional while i prefer to be more free spirited.
570,my family and i are from india.
571,my favorite music genre is death metal.
572,i am studying to be a computer programmer.
573,i am a musician and hope to make it big some day.
574,i also work as a custodian to help pay the bills.
575,i play the piano and guitar and sing.
576,my parents are not very supportive of my dream.
577,i am a construction worker.
578,in my free time i like to watch nascar racing and ufc.
579,my favorite food is mexican food.
580,i've been working since i was sixteen years old.
581,i compete in dog agility classes.
582,i hate the color orange.
583,i went to school for chemistry but work in a bookstore.
584,i do not care about fashion.
585,i dance on the weekends.
586,i never broke a bone in my body ever in my life.
587,i was raised in a single parent household.
588,i read twenty books a year.
589,i am a stunt double as my second job.
590,i'm partly deaf.
591,i grow roses in my garden.
592,i've a big library at home.
593,i am a museum tour guide.
594,i love to drink fancy tea.
595,i'm always wearing a hat.
596,i've a broken arm.
597,my favourite skater is rob dryden.
598,my friends are all skateboarders.
599,i play the piano and guitar and sing.
600,my favorite type of music to sing is folk music.
601,my parents aren't very supportive of my dream.
602,i also work as a custodian to help pay the bills.
603,i've visited spain a times.
604,i'm 60years old.
605,i think i'll retire in a few years.
606,i am a librarian.
607,i just broke up with boyfriend two months ago.
608,i have a pet fish.
609,my favorite color is orange.
610,i turned 18 years old yesterday.
611,i am overweight and unhappy.
612,i work at a nursing home.
613,i do not believe in god.
614,i spend most of my time on facebook when i am not working.
615,my wife left me and took my children.
616,i have two dogs.
617,i like to work on vintage cars.
618,my favorite music is country.
619,i own two vintage mustangs.
620,i love to cook paella.
621,i am an art major in college.
622,i visit europe twice a year.
623,i am a descendant of christopher columbus.
624,i've a weakness for fish and chips.
625,i am high maintenance.
626,i like to tan in tanning beds.
627,i love spending money.
628,i diet a lot.
629,i love listening to britney spears.
630,my favorite singer is taylor swift.
631,i love eating out with friends.
632,i'm getting married in the spring.
633,i work at a school as a kindergarten teacher.
634,i'm 24 years old.
635,i was forced to marry when i was a.
636,my aunt helped me escape when i was of.
637,i was born in somalia.
638,now i live in the united states.
639,i've a pet fish.
640,my favorite color is orange.
641,i like to go hiking in the mornings to see the sunset.
642,i turned 18 years old yesterday.
643,i just broke up with boyfriend two months ago.
644,i have never been out of ohio.
645,i work for our local supermarket.
646,my favorite band is the who.
647,i've a cat named spook.
648,my favorite food is pizza with black olives.
649,my family doesn't support my career choices.
650,my dream car is a rolls royce ghost.
651,i like shopping.
652,i often shop for shoes and watches.
653,i currently work for a watch dealer.
654,i am a swim coach at my local pool.
655,i'm studying to be a computer programmer.
656,my mother is very traditional while i prefer to be more free spirited.
657,my family and i are from india.
658,my favorite music genre is death metal.
659,i've visited spain a times.
660,i'm 60years old.
661,i think i'll retire in a few years.
662,i am a librarian.
663,i drive a big truck and live in country.
664,i've a pet cow.
665,i only listen to country music.
666,i work my parents farms.
667,i've a weakness for vanilla ice cream.
668,i love cats and have two cats.
669,i have a hat collection of over 1000 hats.
670,my favorite season is winter.
671,i won a gold medal in the 1992 olympics.
672,i like playing basketball.
673,my favourite artist is travis scott.
674,i have one older sister.
675,my mother is a dentist.
676,i'm currently looking for a job preferably at a restaurant.
677,i've been working since i was sixteen years old.
678,i'm a construction worker.
679,my favorite food is mexican food.
680,my favorite band is aerosmith.
681,in my free time i like to watch nascar racing and ufc.
682,hey there i am 23 and i love food.
683,i have been trying all types of food everywhere i go.
684,i own a yacht and i rent it out when i am not using it.
685,i also like to cook but i am not very good at it.
686,i've been traveling the world for a years.
687,i love to go to disney world every year.
688,mickey mouse is my favorite character.
689,i play with my friends on the playground.
690,i'm in the third grade.
691,i won homecoming queen this year.
692,my current goal is to run a k.
693,when i grow up i want to be a physical therapist.
694,i am currently in high school.
695,now i live in the united states.
696,my aunt helped me escape when i was of.
697,i was born in somalia.
698,i was forced to marry when i was a.
699,i like to dance.
700,i've been retired for a years.
701,i go gambling in my spare time.
702,i move south during the winter.
703,i like to grill outdoors.
704,i work in it and have been at the same company for 15 years.
705,i own a house in florida.
706,i enjoy american sports.
707,i am a male.
708,i have a children and a dogs.
709,i enjoy listening to classical music.
710,i'm a christian.
711,my favorite color is red.
712,i can drive a tractor.
713,my sister is a pole dancer.
714,i have solar panels on my roof.
715,i buy only organic food products.
716,i spend a lot of time browsing the internet.
717,i love social medial especially twitter.
718,i am a feminist.
719,i enjoy american sports.
720,i work in it and have been at the same company for 15 years.
721,i'm a male.
722,i've a children and a dogs.
723,i'm a 12 year old girl.
724,i love to play pobox.
725,i've blue eyes and red hair that comes to my waist.
726,i hate school.
727,i do not have many friends.
728,i like to eat chocolate candy.
729,i like to look at blocks and sing about letters.
730,i like to talk but people have a hard time understanding.
731,i am four years old.
732,i graduated from yale in 2011 with a degree in finance.
733,i grew up in manhattan.
734,i drive a bmw.
735,my parents are very wealthy bankers.
736,i'm retired and living the great life.
737,i've amazing children and grandchildren.
738,i had cancer but its gone now.
739,i can sew my own clothes.
740,i'm a woman.
741,i work as a school teacher.
742,i attend church every week.
743,i enjoy gardening and walking outdoors.
744,i have a dogs.
745,i won homecoming queen this year.
746,my current goal is to run a k.
747,when i grow up i want to be a physical therapist.
748,i'm currently in high school.
749,i am a cancer survivor.
750,i got a new job just yesterday to be a life coach.
751,i'm a clean eater.
752,i love running and preparing for marathons.
753,i live in colorado.
754,i am a mechanical engineer.
755,i like to go hiking in the spring.
756,my favorite activity is rock climbing.
757,i have a black lab named trooper.
758,i play the piano and guitar and sing.
759,my parents aren't very supportive of my dream.
760,i also work as a custodian to help pay the bills.
761,my favorite type of music to sing is folk music.
762,i am a musician and hope to make it big some day.
763,i attend church every week.
764,i have a dogs.
765,i work as a school teacher.
766,i enjoy gardening and walking outdoors.
767,cheeseburgers are my favorite food.
768,i am a retired gym teacher.
769,i volunteer at a soup kitchen.
770,i was poor growing up.
771,one of the languages that i'm currently studying is spanish.
772,i am a musician.
773,my next language to study is french.
774,i also study languages.
775,my favorite spanish word is trabajo.
776,i don't care about fashion.
777,i went to school for chemistry but work in a bookstore.
778,i hate the color orange.
779,i dance on the weekends.
780,my husband is adopted.
781,i live is a rural farming community.
782,i've a german shepherd dog.
783,i like to watch nhl hockey.
784,my favorite kind of movie is a documentary.
785,i read a book every week.
786,i started a new job as a pa three months ago.
787,i live with my husband in pennsylvania.
788,i have a children and a dogs.
789,i own a house in florida.
790,i enjoy american sports.
791,i am a male.
792,i have short hair.
793,two dogs live with me.
794,i like doing the treadmill and rowing machine.
795,i go to the gym regularly.
796,i have amazing children and grandchildren.
797,i had cancer but its gone now.
798,i can sew my own clothes.
799,i am retired and living the great life.
800,i live in colorado.
801,i am a mechanical engineer.
802,i like to go hiking in the spring.
803,my favorite activity is rock climbing.
804,i have a black lab named trooper.
805,i am 24 years old.
806,i love eating out with friends.
807,i'm getting married in the spring.
808,my favorite singer is taylor swift.
809,i am a recovering alcoholic.
810,i take many medications and some of them make me see things.
811,i am a 45 year old male.
812,i now live in the city.
813,i grew up on a farm.
814,i am a swim coach at my local pool.
815,i'm studying to be a computer programmer.
816,my mother is very traditional while i prefer to be more free spirited.
817,my family and i are from india.
818,my favorite music genre is death metal.
819,i compete in dog agility classes.
820,i hate the color orange.
821,i went to school for chemistry but work in a bookstore.
822,i do not care about fashion.
823,i dance on the weekends.
824,i am 40 years old.
825,i work as a car salesman.
826,my wife spends all my money.
827,i hate my job.
828,i'm planning on getting a divorce.
829,i do not have a smartphone.
830,i'm retired and living the great life.
831,i can sew my own clothes.
832,i had cancer but its gone now.
833,i have amazing children and grandchildren.
834,i had cancer but its gone now.
835,i can sew my own clothes.
836,i've amazing children and grandchildren.
837,i do not have a smartphone.
838,i'm terrified of clowns due to childhood trauma.
839,i was adopted at a young age to an older couple.
840,i enjoy working with my hands and love gardening.
841,i just got a job working in a gas station.
842,my father keeps trying to set me up on blind dates.
843,i live in colorado.
844,i am a mechanical engineer.
845,my favorite activity is rock climbing.
846,i've a black lab named trooper.
847,i like to go hiking in the spring.
848,my favorite activity is rock climbing.
849,i like to go hiking in the spring.
850,i have a black lab named trooper.
851,i'm a mechanical engineer.
852,i live in colorado.
853,i am a retired gym teacher.
854,i was poor growing up.
855,i like watching war documentaries.
856,cheeseburgers are my favorite food.
857,i go to the gym regularly.
858,i like doing the treadmill and rowing machine.
859,i've short hair.
860,eating is something i do when i'm bored.
861,two dogs live with me.
862,i am scared of dying.
863,the county wide bake sale is where i feel most at home.
864,i've a dogs.
865,i love to bake cookies.
866,i've brown curly hair.
867,i like riding horses.
868,my bedroom is purple and lime green.
869,i am a vegan.
870,i work at a nursing home.
871,i am overweight and unhappy.
872,my wife left me and took my children.
873,i spend most of my time on facebook when i am not working.
874,i don't believe in god.
875,i do not pick up my toys.
876,i've a pet turtle.
877,i'm four.
878,my best friend lives next door.
879,i am a cancer survivor.
880,i am a clean eater.
881,i got a new job just yesterday to be a life coach.
882,i love running and preparing for marathons.
883,i have a german shepherd dog.
884,i live is a rural farming community.
885,my husband is adopted.
886,i like to watch nhl hockey.
887,i am 40 years old.
888,i work as a car salesman.
889,my wife spends all my money.
890,i hate my job.
891,i'm planning on getting a divorce.
892,i have a weakness for vanilla ice cream.
893,my favorite season is winter.
894,i have a hat collection of over 1000 hats.
895,i love cats and have two cats.
896,i won a gold medal in the 1992 olympics.
897,knitting is my passion.
898,i am scared of dying.
899,the county wide bake sale is where i feel most at home.
900,i love to bake cookies.
901,a already have a step children.
902,i recently moved to this country.
903,i just moved into my first home.
904,i am expecting triplets in three months.
905,if i'm not cooking in the kitchen then i'm definitely on the water.
906,spiderman is my favorite.
907,hey my name is larry and i am a chef.
908,l also love comic books.
909,i love cooking but i also enjoy fishing.
910,my husband is adopted.
911,i live is a rural farming community.
912,i've a german shepherd dog.
913,i like to watch nhl hockey.
914,i got a new job just yesterday to be a life coach.
915,i am a cancer survivor.
916,i'm a clean eater.
917,i love running and preparing for marathons.
918,i've three dogs.
919,i like to watch the olympics.
920,i'm in an open polyamorous relationship.
921,i also have a dog walking business.
922,my father was a door to door salesman.
923,i am 19 and i cannot wait to move out 19 my parents home.
924,i just want to have fun with my friends.
925,i do not drink or do drugs or anything.
926,i work took i've a part time job at burger king.
927,i workout four hours a day.
928,gymnastics is my favorite sport.
929,i'm a gold medalist olympian.
930,i love italian food and garlic bread.
931,my parents taught me survival skills.
932,i enjoy reading journals and guides related to psychology.
933,i'm an avid kayaker.
934,i walk dogs for a living.
935,i live in california but the recording artist market was dead last year.
936,i am a recording engineer and own my own studio.
937,whats up i am a 46 year old single dad 46 a kids.
938,my ex cheated and left me for a lawyer.
939,i prefer being inside.
940,i can sew my own clothes.
941,i had cancer but its gone now.
942,i'm retired and living the great life.
943,i have amazing children and grandchildren.
944,i like to take walks.
945,i don't drink soda.
946,i live in a house.
947,i like to eat hamburgers and french fries.
948,i hate my job.
949,my wife spends all my money.
950,i am 40 years old.
951,i am planning on getting a divorce.
952,i work as a car salesman.
953,i do not pick up my toys.
954,i've a pet turtle.
955,i'm four.
956,my best friend lives next door.
957,i was born in somalia.
958,now i live in the united states.
959,i like to dance.
960,my aunt helped me escape when i was of.
961,i love to cook paella.
962,i am an art major in college.
963,i visit europe twice a year.
964,i am a descendant of christopher columbus.
965,i've a weakness for fish and chips.
966,now i live in the united states.
967,my aunt helped me escape when i was of.
968,i was born in somalia.
969,i was forced to marry when i was a.
970,i like to dance.
971,i listen to rap music.
972,i produce music for artists.
973,i drive a 2015 honda civic.
974,my favourite food is pizza.
975,one of the languages that i'm currently studying is spanish.
976,i am a musician.
977,my next language to study is french.
978,i also study languages.
979,my favorite spanish word is trabajo.
980,spiderman is my favorite.
981,l also love comic books.
982,i love cooking but i also enjoy fishing.
983,if i am not cooking in the kitchen then i am definitely on the water.
984,i've a pet turtle.
985,i am four.
986,my best friend lives next door.
987,i like to play with my dolls.
988,i volunteer at a soup kitchen.
989,i like watching war documentaries.
990,i'm a retired gym teacher.
991,i was poor growing up.
