,Sentence
106,لم أتحدث منذ ثلاثة أشهر.
107,احب التأمل.
108,أنا أعيش في ألاسكا.
109,أشتري فقط المنتجات الغذائية العضوية.
110,أنا أحب الوسيط الاجتماعي وخاصة تويتر.
111,أقضي الكثير من الوقت في تصفح الإنترنت.
112,أنا نسوية.
113,فزت بميدالية ذهبية في أولمبياد 1992.
114,لدي مجموعة من أكثر من 1000 قبعة.
115,فصلي المفضل هو الشتاء.
116,لدي ضعف في تناول آيس كريم الفانيليا.
117,أحب القطط ولدي قطتان.
118,لقد نشأت في مزرعة خيول.
119,لقد قامت عائلتي بتربية الخيول لأجيال.
120,أريد أن أصبح محاميا.
121,انا من بلدة صغيرة.
122,أساعد في رعاية الحقول.
123,أنا أحب ركوب الخيل.
124,أحب الاستماع إلى موسيقى الروك أثناء العمل.
125,أبي مزارع.
126,أحب طبخ الباييلا.
127,لدي ضعف في السمك ورقائق البطاطس.
128,أزور أوروبا مرتين في السنة.
129,أنا تخصص فني في الكلية.
130,أنا من نسل كريستوفر كولومبوس.
131,أنا أكره اللون الوردي.
132,كان والدي عامل بناء.
133,أنا أستمتع بركوب الدراجات الجبلية كهواية.
134,انا لا اشرب الكحول.
135,أنا من محبي القهوة.
136,أعمل من المنزل.
137,أحب أن أنفق أموالي على السيارات.
138,لم يكن لدي أبدا علاقة ثابتة.
139,أشاهد التلفاز كثيرًا في أوقات الفراغ.
140,أذهب إلى صالة الألعاب الرياضية في معظم الأيام لمجرد التواصل الاجتماعي.
141,النوع المفضل لدي من الموسيقى للغناء هو الموسيقى الشعبية.
142,أنا موسيقي وآمل أن أجعلها كبيرة يومًا ما.
143,ألعب البيانو والجيتار وأغني.
144,كما أنني أعمل أمين حفظ للمساعدة في دفع الفواتير.
145,كما أنني أعمل أمين حفظ للمساعدة في دفع الفواتير.
146,ألعب البيانو والجيتار وأغني.
147,النوع المفضل لدي من الموسيقى للغناء هو الموسيقى الشعبية.
148,أنا موسيقي وآمل أن أجعلها كبيرة يومًا ما.
149,لدي ثلاثة كلاب.
150,كان والدي بائعًا من الباب إلى الباب.
151,أحب مشاهدة الألعاب الأولمبية.
152,أنا في علاقة تعدد الزوجات مفتوحة.
153,أنا أيضا أمتلك تجارة المشي مع الكلاب.
154,أنا أستمتع بكوني حول الناس.
155,أحب ممارسة الرياضة أأ مرات في الأسبوع.
156,أنا أتطوع في ملجأ للمشردين.
157,في أوقات فراغي أقوم بعمل تطوعي.
158,أنا مصارع محترف.
159,انا فتاة تبلغ من العمر 12 عاما.
160,أنا أحب أن ألعب الجدري.
161,لدي عيون زرقاء وشعر أحمر يصل إلى خصري.
162,أكره المدرسة.
163,ليس لدي الكثير من الأصدقاء.
164,أعيش في كاليفورنيا لكن سوق فنان التسجيلات كان ميتًا العام الماضي.
165,أنا مهندس تسجيل وأملك الاستوديو الخاص بي.
166,ما الأمر أنا 46 سنة من العمر والد أعزب 46 طفل.
167,خدعني السابق وتركني لمحامي.
168,أنا أفضل أن أكون في الداخل.
169,أريد فقط أن أستمتع مع أصدقائي.
170,لقد أخذت أعمل لدي وظيفة بدوام جزئي في برجر كينج.
171,أبلغ من العمر 19 عامًا ولا يمكنني الانتظار حتى أخرج من منزل والدي.
172,هم دائما على ظهري.
173,أنا لا أشرب الخمر ولا أتعاطى المخدرات أو أي شيء.
174,أقود سيارة هوندا سيفيك 2015.
175,طعامي المفضل هو البيتزا.
176,أستمع إلى موسيقى الراب.
177,أنا أنتج الموسيقى للفنانين.
178,اسم حيواناتي الأليفة هو تشارلي.
179,أمي تقليدية للغاية بينما أفضل أن أكون أكثر حرية.
180,أنا وعائلتي من الهند.
181,نوع الموسيقى المفضل لدي هو ميتال الموت.
182,أنا مدرب سباحة في حمام السباحة المحلي.
183,والدي يعزف على الكمان باحتراف.
184,أنا مدرس البيانو في الجانب.
185,أنا أستمتع باستكشاف أجزاء جديدة من المدينة.
186,أنا أتطوع في ملجأ المشردين.
187,أقضي الكثير من الوقت في تصفح الإنترنت.
188,أنا نسوية.
189,أشتري فقط المنتجات الغذائية العضوية.
190,لدي ألواح شمسية على سطحي.
191,نشاطي المفضل هو تسلق الصخور.
192,أنا مهندس ميكانيكي.
193,احب الذهاب للمشي لمسافات طويلة في الربيع.
194,أنا أعيش في كولورادو.
195,الأعياد تجعلني أشعر بالاكتئاب.
196,لدي شعر قوس قزح.
197,عمري أكبر من أن أقول.
198,أنا ناشط في مجال الحيوان.
199,أقضي وقتي في مشاهدة الطيور مع قطتي.
200,احب الطبخ ولكنى ايضا استمتع بالصيد.
201,l أيضا أحب الكتب المصورة.
202,مرحباً ، اسمي لاري وأنا طاهٍ.
203,إذا لم أكن أطبخ في المطبخ ، فأنا بالتأكيد على الماء.
204,لم أتخرج من المدرسة الثانوية.
205,طعامي المفضل هو الشاورما.
206,انا في الجيش.
207,خدم جدي في الحرب العالمية أ.
208,فرقتي المفضلة هي شقق النذل.
209,لقد أمضينا الصيف يرن في المنتزهات الوطنية.
210,لقد نشأت في هذه الصناعة.
211,أنا مغني موسيقى الريف.
212,ليس لدي أي عائلة أنا قريب منها.
213,اسمي جورج.
214,طعامي المفضل هو البابايا.
215,أنا مزارع نحل.
216,تزوجت عارضة أزياء من إيطاليا.
217,اسمي جورج.
218,ليس لدي عائلة أنا قريب منها.
219,طعامي المفضل هو البابايا.
220,تزوجت عارضة أزياء من إيطاليا.
221,أنا مزارع نحل.
222,أنا أحب ألواح الشوكولاتة.
223,ألعب الكمان والجيتار.
224,انا اتكلم الصينية.
225,والدي كهربائي.
226,ألعب بينج بونج.
227,احب ان اغني اغاني من فيلم مجمد.
228,ألعب مع أصدقائي في الملعب.
229,ميكي ماوس هو شخصيتي المفضلة.
230,أحب أن أذهب إلى عالم ديزني كل عام.
231,انا في الصف الثالث.
232,أحب أكل الهامبرغر والبطاطا المقلية.
233,أحب أن آخذ مناحي.
234,أنا لا أشرب الصودا.
235,لدي صديق.
236,أنا اعيش في منزل.
237,لقد أخذت أعمل لدي وظيفة بدوام جزئي في برجر كينج.
238,أبلغ من العمر 19 عامًا ولا يمكنني الانتظار حتى أخرج من منزل والدي.
239,أنا لا أشرب الخمر ولا أتعاطى المخدرات أو أي شيء.
240,هم دائما على ظهري.
241,أريد فقط أن أستمتع مع أصدقائي.
242,أنا بطلاقة في اللغة الإنجليزية والإسبانية والفرنسية.
243,الألوان المفضلة هي الأحمر والفضي.
244,أنا مهتم بالتصوير وأحب التقاط الصور.
245,أنا وصديقي ننتقل إلى شقة معًا الأسبوع المقبل.
246,أنا مدرس في مدرسة ابتدائية.
247,أنا أحب سندويشات التاكو.
248,لدي أخ واحد.
249,لدي ثلاث شقيقات.
250,انا احب الكلاب.
251,أنا أعيش في ألاباما.
252,أنا أحب سندويشات التاكو.
253,لدي ثلاث شقيقات.
254,انا احب الكلاب.
255,أنا أعيش في ألاباما.
256,لدي أخ واحد.
257,أنا أعزب ومع كلبين.
258,أنا لا أشرب الكحول.
259,أحب أن ألعب الشطرنج.
260,أنا في الثلاثينيات من عمري.
261,أنا أعيش في ألاسكا.
262,تركت عملي لمتابعة روحانيتي بدوام كامل.
263,أنا بوذي.
264,لم أتحدث منذ ثلاثة أشهر.
265,احب التأمل.
266,كان والداي رياضيين للغاية.
267,أحب الجري والاستعداد لسباقات الماراثون.
268,حصلت على وظيفة جديدة بالأمس لأكون مدربًا مدى الحياة.
269,أنا نظيف من أكلي لحوم البشر.
270,انا من بلدة صغيرة.
271,أريد أن أصبح محاميا.
272,لقد قامت عائلتي بتربية الخيول لأجيال.
273,لقد نشأت في مزرعة خيول.
274,لدي طفلان لم يسبق لهما الزيارة.
275,أتخيل السيطرة على العالم.
276,أنا امرأة تبلغ من العمر 56 عامًا.
277,اعتدت أن أكون رسامًا لكنني الآن مدبرة منزل.
278,أرتدي خوذة دراجة نارية لحماية رأسي.
279,وسيلة النقل الرئيسية الخاصة بي هي دراجتي النارية.
280,لدي بشرة فاتحة مع عيون بنية كبيرة.
281,إنه أحمر مع شريط أزرق لذا فهو لامع عندما أتسابق.
282,احب ان اغني اغاني من فيلم مجمد.
283,انا في الصف الثالث.
284,ألعب مع أصدقائي في الملعب.
285,أحب أن أذهب إلى عالم ديزني كل عام.
286,ميكي ماوس هو شخصيتي المفضلة.
287,المتزلج المفضل لدي هو روب درايدن.
288,لدي ذراع مكسور.
289,أنا متزلج.
290,جميع أصدقائي متزلجين.
291,أنا دائما أرتدي قبعة.
292,أقضي الكثير من الوقت في تصفح الإنترنت.
293,أنا نسوية.
294,أشتري فقط المنتجات الغذائية العضوية.
295,لدي ألواح شمسية على سطحي.
296,نوع الفيلم المفضل لدي هو فيلم وثائقي.
297,أقرأ كتابًا كل أسبوع.
298,لقد بدأت وظيفة جديدة كطرف عام منذ ثلاثة أشهر.
299,أعيش مع زوجي في بنسلفانيا.
300,لا يهمني الموضة.
301,ذهبت إلى مدرسة الكيمياء لكنني أعمل في محل لبيع الكتب.
302,أنا أكره اللون البرتقالي.
303,أرقص في عطلة نهاية الأسبوع.
304,أريد أن أصبح محاميا.
305,لقد قامت عائلتي بتربية الخيول لأجيال.
306,انا من بلدة صغيرة.
307,لقد نشأت في مزرعة خيول.
308,أنا مهتم بالتصوير وأحب التقاط الصور.
309,أنا بطلاقة في اللغة الإنجليزية والإسبانية والفرنسية.
310,أنا مدرس في مدرسة ابتدائية.
311,الألوان المفضلة هي الأحمر والفضي.
312,أنا وصديقي ننتقل إلى شقة معًا الأسبوع المقبل.
313,أساعد في رعاية الحقول.
314,أنا أحب ركوب الخيل.
315,أبي مزارع.
316,أحب الاستماع إلى موسيقى الروك أثناء العمل.
317,أنا مهتم بالتصوير وأحب التقاط الصور.
318,أنا وصديقي ننتقل إلى شقة معًا الأسبوع المقبل.
319,أنا مدرس في مدرسة ابتدائية.
320,أنا بطلاقة في اللغة الإنجليزية والإسبانية والفرنسية.
321,أعمل في حانة في الليل لدفع تكاليف الكلية.
322,انا لا احب الدجاج.
323,لدي شعر أشقر وعيون زرقاء.
324,أنا في الكلية لأصبح ممرضة.
325,أنا لا أشرب الخمر ولا أتعاطى المخدرات أو أي شيء.
326,لقد أخذت أعمل لدي وظيفة بدوام جزئي في برجر كينج.
327,أريد فقط أن أستمتع مع أصدقائي.
328,أبلغ من العمر 19 عامًا ولا يمكنني الانتظار حتى أخرج من منزل والدي.
329,هم دائما على ظهري.
330,انا مرعوب من العقارب.
331,لوني المفضل هو الرمادي.
332,أنا موظف في الخدمة البريدية الأمريكية.
333,كان والدي يقود سيارة لناسكار.
334,أنا أحب ألواح الشوكولاتة.
335,ألعب الكمان والجيتار.
336,والدي كهربائي.
337,ألعب بينج بونج.
338,أنا أملك اثنين من الفرس خمر.
339,الموسيقى المفضلة لدي هي البلد.
340,أحب العمل على السيارات القديمة.
341,لدي كلبان.
342,لدي 5 قطط.
343,انا عامل بناء.
344,قطتي خاصة جدا بالنسبة لي.
345,أنا أستمتع ببناء المنازل.
346,أنا أركب الحافلة إلى المدرسة.
347,أخي أكبر مني.
348,عمري 13 سنة.
349,أكره حصة الرياضيات.
350,برجر الجبن هو طعامي المفضل.
351,كنت فقيرة نشأت.
352,أنا مدرس متقاعد في صالة الألعاب الرياضية.
353,أنا أتطوع في مطبخ الحساء.
354,أحب مشاهدة الأفلام الوثائقية عن الحرب.
355,لدي ثلاثة أطفال.
356,زوجتي وأولادي هم الأفضل.
357,نكهة الآيس كريم المفضلة لدي هي الشوكولاتة.
358,انا سباك.
359,أشتري فقط المنتجات الغذائية العضوية.
360,أنا أحب الوسيط الاجتماعي وخاصة تويتر.
361,أقضي الكثير من الوقت في تصفح الإنترنت.
362,أنا نسوية.
363,أنا أتنافس في فصول رشاقة الكلاب.
364,أنا أكره اللون البرتقالي.
365,ذهبت إلى مدرسة الكيمياء لكنني أعمل في محل لبيع الكتب.
366,لا يهمني الموضة.
367,أرقص في عطلة نهاية الأسبوع.
368,أرتدي خوذة دراجة نارية لحماية رأسي.
369,إنه أحمر مع شريط أزرق لذا فهو لامع عندما أتسابق.
370,أنا نادلة أثناء النهار لزيادة الدخل.
371,لدي بشرة فاتحة مع عيون بنية كبيرة.
372,وسيلة النقل الرئيسية الخاصة بي هي دراجتي النارية.
373,أشعر أنني قد أعيش إلى الأبد.
374,عمري 100 سنة.
375,أحب شرب الخمر والرقص في ضوء القمر.
376,أتذكر عندما لم يكن لدى أحد جهاز تلفزيون.
377,أنا قوي جدا بالنسبة لعمري.
378,انا من بلدة صغيرة.
379,أريد أن أصبح محاميا.
380,لقد قامت عائلتي بتربية الخيول لأجيال.
381,لقد نشأت في مزرعة خيول.
382,انا امراة.
383,اعمل مدرس مدرسة.
384,أحضر الكنيسة كل أسبوع.
385,أنا أستمتع بالبستنة والسير في الهواء الطلق.
386,لدي كلاب.
387,حلمي في الحياة هو العمل من المنزل.
388,أصبغ شعري كل ثلاثة أشهر.
389,ذهبت إلى المدرسة لأكون طبيبة بيطرية لكنني كرهتها.
390,لدي إدمان على الإنترنت وأقضي الكثير من الوقت في لعب ألعاب تقمص الأدوار.
391,أنا ناشط في مجال الحيوان.
392,الأعياد تجعلني أشعر بالاكتئاب.
393,عمري أكبر من أن أقول.
394,لدي شعر قوس قزح.
395,أقضي وقتي في مشاهدة الطيور مع قطتي.
396,أنا أقود شاحنة صغيرة.
397,القهوة هي مشروبي المفضل.
398,أنا مدرب دوري البيسبول الصغير.
399,أنا أيضا أحب كأس من النبيذ في المساء.
400,لدي خمسة أبناء.
401,أساعد في بنك الطعام أحيانًا.
402,فيلمي المفضل هو الفتيات اللئيمات.
403,أنا أملك قطة وكلب.
404,أنا حيوان الحفلة.
405,أنا أخاف بشدة من المرتفعات.
406,أخطط للذهاب إلى كلية إدارة الأعمال العام المقبل.
407,تخرجت من جامعة ييل في عام 2011 بدرجة في التمويل.
408,أنا أقود سيارة بي ام دبليو.
409,والداي من المصرفيين الأثرياء.
410,أخطط للذهاب إلى كلية إدارة الأعمال العام المقبل.
411,تخرجت من جامعة ييل في عام 2011 بدرجة في التمويل.
412,والداي من المصرفيين الأثرياء.
413,لقد نشأت في مانهاتن.
414,لقد جربت جميع أنواع الطعام في كل مكان أذهب إليه.
415,مرحبًا ، عمري 23 عامًا وأحب الطعام.
416,أنا أسافر حول العالم منذ سنوات.
417,أود أيضًا أن أطبخ ولكني لست جيدًا في ذلك.
418,أمتلك يختًا وأؤجره عندما لا أستخدمه.
419,والداي من المصرفيين الأثرياء.
420,تخرجت من جامعة ييل في عام 2011 بدرجة في التمويل.
421,أنا أقود سيارة بي ام دبليو.
422,أخطط للذهاب إلى كلية إدارة الأعمال العام المقبل.
423,أنا أستمع فقط إلى موسيقى الريف.
424,أقود شاحنة كبيرة وأعيش في البلد.
425,أنا كهربائي.
426,لدي بقرة أليف.
427,أنا أعمل مزارع والدي.
428,أنا أستمتع بالعمل بيدي وأحب البستنة.
429,لقد حصلت للتو على وظيفة أعمل في محطة وقود.
430,يحاول والدي أن يجعلني مواعدة عمياء.
431,أنا مرعوب من المهرجين بسبب صدمة الطفولة.
432,لقد تم تبنيها في سن مبكرة لزوجين أكبر سناً.
433,أنا أستمتع بكوني حول الناس.
434,أحب ممارسة الرياضة أأ مرات في الأسبوع.
435,أنا أتطوع في ملجأ للمشردين.
436,في أوقات فراغي أقوم بعمل تطوعي.
437,أنا مصارع محترف.
438,أمشي الكلاب من أجل لقمة العيش.
439,أنا أيضًا طالبة دراسات عليا.
440,أنا متعطش للكاياكر.
441,أنا أستمتع بقراءة المجلات والأدلة المتعلقة بعلم النفس.
442,علمني والداي مهارات البقاء على قيد الحياة.
443,ابنتي طفل معجزة.
444,أنا أستمتع بالذهاب إلى الحديقة.
445,أنا طبيب.
446,أنا الآن أبحث عن وظيفة جديدة.
447,فيلمي المفضل هو الجمعة.
448,أقرأ عشرين كتابًا في السنة.
449,أنا فقط آكل الكوشر.
450,لم أكسر أبدًا أي عظم في جسدي في حياتي.
451,لقد نشأت في منزل أحد الوالدين.
452,تم فصلي مؤخرًا واضطررت إلى الحصول على وظيفة جديدة.
453,اعمل فى مجال التأمين.
454,توفيت أمي عندما كنت صغيراً.
455,والدي في الجيش.
456,أنا أعمل مزارع والدي.
457,أنا أستمع فقط إلى موسيقى الريف.
458,أقود شاحنة كبيرة وأعيش في البلد.
459,لدي بقرة أليف.
460,أنا كهربائي.
461,لقد نشأت في هذه الصناعة.
462,فرقتي المفضلة هي شقق النذل.
463,أنا مغني موسيقى الريف.
464,بدأت العزف على الجيتار عندما كنت في الثالثة من عمري.
465,انا عامل بناء.
466,علمني والدي كل ما أعرفه.
467,أنا أستمتع ببناء المنازل.
468,قطتي خاصة جدا بالنسبة لي.
469,اعمل بدوام كامل في حوض بناء السفن.
470,أتبرع بجزء من راتبي للأعمال الخيرية كل شهر.
471,أتطوع بوقتي في إنقاذ الأرانب المحلية.
472,لوني المفضل هو الأزرق الداكن.
473,أنا حيوان الحفلة.
474,أنا خائف بشدة من المرتفعات.
475,أساعد في بنك الطعام أحيانًا.
476,أنا أملك قطة وكلب.
477,أنا أتطوع في ملجأ المشردين.
478,والدي يعزف على الكمان باحتراف.
479,أنا أستمتع باستكشاف أجزاء جديدة من المدينة.
480,أنا مدرس البيانو في الجانب.
481,ألعب عدة آلات.
482,يمكنني تحريك الأشياء بذهني.
483,ولدت وقلبي خارج جسدي.
484,انا ولد.
485,كان لا بد لي من إجراء عملية زرع.
486,منذ الجراحة لدي قوى غريبة.
487,عائلتي تنمو باستمرار.
488,انا متزوج من طبيب.
489,أنا أستمتع بالمشي لمسافات طويلة مع كلبي.
490,أنا لاعب تنس محترف.
491,اعيش فى منزل من ثلاثة طوابق.
492,لدي شعر قصير.
493,كلبان يعيشان معي.
494,أحب القيام بجهاز المشي والتجديف.
495,أذهب إلى صالة الألعاب الرياضية بانتظام.
496,لوني المفضل هو الازرق.
497,انا استمتع بالرياضة مثل الجري.
498,انا متزوج.
499,أنا نباتي.
500,انا متزوج من طبيب.
501,عائلتي تنمو باستمرار.
502,أنا لاعب تنس محترف.
503,اعيش فى منزل من ثلاثة طوابق.
504,أنا أعمل منذ أن كان عمري ستة عشر عامًا.
505,انا عامل بناء.
506,طعامي المفضل هو الطعام المكسيكي.
507,فرقتي المفضلة هي إيروسميث.
508,في وقت فراغي ، أحب مشاهدة سباقات ناسكار و UFC.
509,أحب شرب الخمر والرقص في ضوء القمر.
510,أتذكر عندما لم يكن لدى أحد جهاز تلفزيون.
511,أنا قوي جدا بالنسبة لعمري.
512,أشعر أنني قد أعيش إلى الأبد.
513,عمري 100 سنة.
514,إحدى اللغات التي أدرسها حاليًا هي الإسبانية.
515,لغتي التالية للدراسة هي الفرنسية.
516,الكلمة الإسبانية المفضلة لدي هي trabajo.
517,أنا موسيقي.
518,عمري 24 سنة.
519,احب تناول الطعام بالخارج مع الاصدقاء.
520,سأتزوج في الربيع.
521,المغني المفضل لدي هو تايلور سويفت.
522,اسم حيواناتي الأليفة هو تشارلي.
523,أقود سيارة هوندا سيفيك 2015.
524,أستمع إلى موسيقى الراب.
525,أنا أنتج الموسيقى للفنانين.
526,طعامي المفضل هو البيتزا.
527,اسم حيواناتي الأليفة هو تشارلي.
528,أنا أنتج الموسيقى للفنانين.
529,طعامي المفضل هو البيتزا.
530,أقود سيارة هوندا سيفيك 2015.
531,احب ان اغني اغاني من فيلم مجمد.
532,ألعب مع أصدقائي في الملعب.
533,انا في الصف الثالث.
534,أحب أن أذهب إلى عالم ديزني كل عام.
535,أنا أستمتع باستكشاف أجزاء جديدة من المدينة.
536,أنا أتطوع في ملجأ المشردين.
537,أنا مدرس البيانو في الجانب.
538,والدي يعزف على الكمان باحتراف.
539,ألعب عدة آلات.
540,اعمل بدوام كامل في حوض بناء السفن.
541,أتطوع بوقتي في إنقاذ الأرانب المحلية.
542,لوني المفضل هو الأزرق الداكن.
543,أنا عسكري سابق.
544,أتبرع بجزء من راتبي للأعمال الخيرية كل شهر.
545,أنا في علاقة تعدد الزوجات مفتوحة.
546,لدي ثلاثة كلاب.
547,أحب مشاهدة الألعاب الأولمبية.
548,كان والدي بائعًا من الباب إلى الباب.
549,أنا أيضا أمتلك تجارة المشي مع الكلاب.
550,لدي إدمان على الإنترنت وأقضي الكثير من الوقت في لعب ألعاب تقمص الأدوار.
551,أنا أغمي على مرأى من الدم.
552,أصبغ شعري كل ثلاثة أشهر.
553,حلمي في الحياة هو العمل من المنزل.
554,ذهبت إلى المدرسة لأكون طبيبة بيطرية لكنني كرهتها.
555,لقد ساعدت في تصميم لعبة ستار كرافت.
556,لدي حساسية من الماء.
557,أنا منعزل.
558,أنا مشهور نشل غاسل.
559,أنا أعمل على بناء روبوت ليكون جسدي مزدوج.
560,أنا أبقى في المنزل يا أبي.
561,قضيت عقدًا من الزمان في العمل في مجال الخدمات البشرية.
562,كان والدي يعمل في مستودع المنزل.
563,افلام الرعب هي المفضلة.
564,لدي ثلاثة أطفال.
565,زوجتي وأولادي هم الأفضل.
566,نكهة الآيس كريم المفضلة لدي هي الشوكولاتة.
567,انا سباك.
568,أنا مدرب سباحة في حمام السباحة المحلي.
569,أمي تقليدية للغاية بينما أفضل أن أكون أكثر حرية.
570,أنا وعائلتي من الهند.
571,نوع الموسيقى المفضل لدي هو ميتال الموت.
572,أنا أدرس لأكون مبرمج كمبيوتر.
573,أنا موسيقي وآمل أن أجعلها كبيرة يومًا ما.
574,كما أنني أعمل أمين حفظ للمساعدة في دفع الفواتير.
575,ألعب البيانو والجيتار وأغني.
576,والداي لا يدعمان حلمي كثيرًا.
577,انا عامل بناء.
578,في وقت فراغي ، أحب مشاهدة سباقات ناسكار و UFC.
579,طعامي المفضل هو الطعام المكسيكي.
580,أنا أعمل منذ أن كان عمري ستة عشر عامًا.
581,أنا أتنافس في فصول رشاقة الكلاب.
582,أنا أكره اللون البرتقالي.
583,ذهبت إلى مدرسة الكيمياء لكنني أعمل في محل لبيع الكتب.
584,لا يهمني الموضة.
585,أرقص في عطلة نهاية الأسبوع.
586,لم أكسر أبدًا أي عظم في جسدي في حياتي.
587,لقد نشأت في منزل أحد الوالدين.
588,أقرأ عشرين كتابًا في السنة.
589,أنا حيلة مزدوجة وظيفتي الثانية.
590,أنا أصم جزئياً.
591,أزرع الورود في حديقتي.
592,لدي مكتبة كبيرة في المنزل.
593,أنا مرشد سياحي في المتحف.
594,أحب شرب الشاي الفاخر.
595,أنا دائما أرتدي قبعة.
596,لدي ذراع مكسور.
597,المتزلج المفضل لدي هو روب درايدن.
598,جميع أصدقائي متزلجين.
599,ألعب البيانو والجيتار وأغني.
600,النوع المفضل لدي من الموسيقى للغناء هو الموسيقى الشعبية.
601,والداي لا يدعمان حلمي كثيرًا.
602,كما أنني أعمل أمين حفظ للمساعدة في دفع الفواتير.
603,لقد زرت إسبانيا مرات.
604,عمري 60 سنة.
605,أعتقد أنني سأتقاعد في غضون سنوات قليلة.
606,أنا أمين مكتبة.
607,لقد انفصلت للتو عن صديقها منذ شهرين.
608,لدي سمكة أليف.
609,لوني المفضل هو البرتقالي.
610,بلغت 18 سنة أمس.
611,أنا من ذوي الوزن الزائد وغير سعيد.
612,اعمل فى دار لرعاية المسنين.
613,أنا لا أؤمن بالله.
